phase_days,t_exp_days,instrument,filename,n_points,wave_min,wave_max
-10.0,7.3,WHT-ISIS,sn2011fe_m10d0d.csv,3196,3501.8,9298.5
-9.8,7.5,Snifs,sn2011fe_m9d8d.csv,2690,3301.1,9700.9
-8.8,8.5,Snifs,sn2011fe_m8d8d.csv,2690,3301.1,9700.9
-7.8,9.5,Snifs,sn2011fe_m7d8d.csv,2690,3301.1,9700.9
-6.7,10.6,Snifs,sn2011fe_m6d7d.csv,2690,3301.1,9700.9
-5.8,11.5,Snifs,sn2011fe_m5d8d.csv,2690,3301.1,9700.9
-4.8,12.5,Snifs,sn2011fe_m4d8d.csv,2690,3301.1,9700.9
-0.8,16.5,Snifs,sn2011fe_m0d8d.csv,2690,3301.1,9700.9
+0.2,17.5,Snifs,sn2011fe_p0d2d.csv,2690,3301.1,9700.9
+1.2,18.5,Snifs,sn2011fe_p1d2d.csv,2690,3301.1,9700.9
+2.2,19.5,Snifs,sn2011fe_p2d2d.csv,2690,3301.1,9700.9
+3.2,20.5,Snifs,sn2011fe_p3d2d.csv,2690,3301.1,9700.9
+4.2,21.5,Snifs,sn2011fe_p4d2d.csv,2690,3301.1,9700.9
+7.2,24.5,Snifs,sn2011fe_p7d2d.csv,2690,3301.1,9700.9
+9.2,26.5,Snifs,sn2011fe_p9d2d.csv,2690,3301.1,9700.9
+12.2,29.5,Snifs,sn2011fe_p12d2d.csv,2690,3301.1,9700.9
+14.2,31.5,Snifs,sn2011fe_p14d2d.csv,2690,3301.1,9700.9
+17.2,34.5,Snifs,sn2011fe_p17d2d.csv,2690,3301.1,9700.9
+19.2,36.5,Snifs,sn2011fe_p19d2d.csv,2690,3301.1,9700.9
