# SN 2011fe observed spectrum
# Phase: -10.0 days from B-max (MJD 55814.0)
# t_exp: 7.3 days since explosion (MJD 55796.7)
# Instrument: WHT-ISIS
# Wavelength range: 3501.8 - 9298.5 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3501.7500,5.469252e-13
3503.5600,5.423603e-13
3505.3700,5.513421e-13
3507.1800,5.422484e-13
3508.9900,5.536082e-13
3510.8000,5.444341e-13
3512.6100,5.536216e-13
3514.4200,5.500445e-13
3516.2300,5.579543e-13
3518.0400,5.541833e-13
3519.8500,5.633693e-13
3521.6600,5.473410e-13
3523.4700,5.508413e-13
3525.2800,5.566493e-13
3527.0900,5.559884e-13
3528.9000,5.570417e-13
3530.7100,5.548842e-13
3532.5200,5.486218e-13
3534.3300,5.509680e-13
3536.1400,5.557488e-13
3537.9500,5.618525e-13
3539.7600,5.563516e-13
3541.5700,5.600036e-13
3543.3800,5.628097e-13
3545.1900,5.573860e-13
3547.0000,5.630572e-13
3548.8100,5.647903e-13
3550.6200,5.654178e-13
3552.4300,5.655403e-13
3554.2400,5.566268e-13
3556.0500,5.593572e-13
3557.8600,5.630987e-13
3559.6700,5.661350e-13
3561.4800,5.670699e-13
3563.2900,5.710230e-13
3565.1000,5.726381e-13
3566.9100,5.726265e-13
3568.7200,5.713029e-13
3570.5300,5.708064e-13
3572.3400,5.663134e-13
3574.1500,5.808615e-13
3575.9600,5.746409e-13
3577.7700,5.705878e-13
3579.5800,5.666018e-13
3581.3900,5.658816e-13
3583.2000,5.652715e-13
3585.0100,5.696222e-13
3586.8200,5.559942e-13
3588.6300,5.610713e-13
3590.4400,5.536568e-13
3592.2500,5.437971e-13
3594.0600,5.447150e-13
3595.8700,5.407864e-13
3597.6800,5.343574e-13
3599.4900,5.369920e-13
3601.3000,5.334382e-13
3603.1100,5.353572e-13
3604.9200,5.354134e-13
3606.7300,5.296710e-13
3608.5400,5.297066e-13
3610.3500,5.190174e-13
3612.1600,5.224858e-13
3613.9700,5.189771e-13
3615.7800,5.136362e-13
3617.5900,5.161289e-13
3619.4000,5.085764e-13
3621.2100,5.108538e-13
3623.0200,5.009964e-13
3624.8300,4.997424e-13
3626.6400,5.001423e-13
3628.4500,5.022305e-13
3630.2600,4.914740e-13
3632.0700,4.867831e-13
3633.8800,4.846211e-13
3635.6900,4.827222e-13
3637.5000,4.848856e-13
3639.3100,4.754358e-13
3641.1200,4.818465e-13
3642.9300,4.680348e-13
3644.7400,4.632633e-13
3646.5500,4.557532e-13
3648.3600,4.560393e-13
3650.1700,4.410060e-13
3651.9800,4.292004e-13
3653.7900,4.143991e-13
3655.6000,4.069746e-13
3657.4100,3.918655e-13
3659.2200,3.880470e-13
3661.0300,3.801764e-13
3662.8400,3.727216e-13
3664.6500,3.633187e-13
3666.4600,3.478397e-13
3668.2700,3.403287e-13
3670.0800,3.369031e-13
3671.8900,3.303765e-13
3673.7000,3.215127e-13
3675.5100,3.135017e-13
3677.3200,3.011984e-13
3679.1300,2.955279e-13
3680.9400,2.854557e-13
3682.7500,2.778956e-13
3684.5600,2.711977e-13
3686.3700,2.664217e-13
3688.1800,2.607661e-13
3689.9900,2.547821e-13
3691.8000,2.499127e-13
3693.6100,2.483320e-13
3695.4200,2.439557e-13
3697.2300,2.393683e-13
3699.0400,2.424645e-13
3700.8500,2.335669e-13
3702.6600,2.325115e-13
3704.4700,2.305177e-13
3706.2800,2.272449e-13
3708.0900,2.221236e-13
3709.9000,2.222862e-13
3711.7100,2.195687e-13
3713.5200,2.169861e-13
3715.3300,2.181892e-13
3717.1400,2.131358e-13
3718.9500,2.160841e-13
3720.7600,2.181882e-13
3722.5700,2.169378e-13
3724.3800,2.187607e-13
3726.1900,2.219979e-13
3728.0000,2.206635e-13
3729.8100,2.281158e-13
3731.6200,2.290830e-13
3733.4300,2.278406e-13
3735.2400,2.299754e-13
3737.0500,2.378349e-13
3738.8600,2.378246e-13
3740.6700,2.439698e-13
3742.4800,2.459659e-13
3744.2900,2.530061e-13
3746.1000,2.597736e-13
3747.9100,2.611015e-13
3749.7200,2.689654e-13
3751.5300,2.719179e-13
3753.3400,2.748367e-13
3755.1500,2.774502e-13
3756.9600,2.790712e-13
3758.7700,2.742920e-13
3760.5800,2.778220e-13
3762.3900,2.773330e-13
3764.2000,2.739795e-13
3766.0100,2.806788e-13
3767.8200,2.707922e-13
3769.6300,2.794801e-13
3771.4400,2.788253e-13
3773.2500,2.802376e-13
3775.0600,2.819942e-13
3776.8700,2.817603e-13
3778.6800,2.912836e-13
3780.4900,2.912727e-13
3782.3000,2.923775e-13
3784.1100,2.951835e-13
3785.9200,2.992613e-13
3787.7300,2.968001e-13
3789.5400,2.975918e-13
3791.3500,2.959968e-13
3793.1600,2.969661e-13
3794.9700,3.009086e-13
3796.7800,2.998857e-13
3798.5900,3.039754e-13
3800.4000,3.063167e-13
3802.2100,3.108284e-13
3804.0200,3.118667e-13
3805.8300,3.125839e-13
3807.6400,3.184618e-13
3809.4500,3.199472e-13
