# SN 2011fe observed spectrum
# Phase: -8.8 days from B-max (MJD 55814.0)
# t_exp: 8.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3301.0600,2.855468e-13
3303.4400,2.852713e-13
3305.8200,2.881180e-13
3308.2000,2.899875e-13
3310.5800,2.902995e-13
3312.9600,2.897396e-13
3315.3400,2.909133e-13
3317.7200,2.876452e-13
3320.1000,2.883993e-13
3322.4800,2.911996e-13
3324.8600,2.946564e-13
3327.2400,2.983591e-13
3329.6200,3.011583e-13
3332.0000,3.050628e-13
3334.3800,3.076875e-13
3336.7600,3.079350e-13
3339.1400,3.124402e-13
3341.5200,3.162560e-13
3343.9000,3.138004e-13
3346.2800,3.123793e-13
3348.6600,3.080423e-13
3351.0400,3.029017e-13
3353.4200,2.983936e-13
3355.8000,2.971078e-13
3358.1800,2.960936e-13
3360.5600,2.920215e-13
3362.9400,2.929409e-13
3365.3200,2.902253e-13
3367.7000,2.895935e-13
3370.0800,2.896314e-13
3372.4600,2.877678e-13
3374.8400,2.867293e-13
3377.2200,2.883403e-13
3379.6000,2.890747e-13
3381.9800,2.885509e-13
3384.3600,2.908982e-13
3386.7400,2.918971e-13
3389.1200,2.975960e-13
3391.5000,2.994794e-13
3393.8800,3.060811e-13
3396.2600,3.091724e-13
3398.6400,3.088900e-13
3401.0200,3.099959e-13
3403.4000,3.093235e-13
3405.7800,3.127967e-13
3408.1600,3.153249e-13
3410.5400,3.167185e-13
3412.9200,3.165293e-13
3415.3000,3.198639e-13
3417.6800,3.218967e-13
3420.0600,3.245152e-13
3422.4400,3.244534e-13
3424.8200,3.266928e-13
3427.2000,3.267064e-13
3429.5800,3.308042e-13
3431.9600,3.355660e-13
3434.3400,3.404044e-13
3436.7200,3.453555e-13
3439.1000,3.490610e-13
3441.4800,3.537590e-13
3443.8600,3.575267e-13
3446.2400,3.600209e-13
3448.6200,3.608605e-13
3451.0000,3.608095e-13
3453.3800,3.609443e-13
3455.7600,3.613417e-13
3458.1400,3.564188e-13
3460.5200,3.522641e-13
3462.9000,3.510847e-13
3465.2800,3.532897e-13
3467.6600,3.527348e-13
3470.0400,3.516766e-13
3472.4200,3.495847e-13
3474.8000,3.507246e-13
3477.1800,3.544623e-13
3479.5600,3.545770e-13
3481.9400,3.591198e-13
3484.3200,3.637731e-13
3486.7000,3.683351e-13
3489.0800,3.708334e-13
3491.4600,3.746739e-13
3493.8400,3.769784e-13
3496.2200,3.795355e-13
3498.6000,3.775337e-13
3500.9800,3.785367e-13
3503.3600,3.789181e-13
3505.7400,3.810604e-13
3508.1200,3.824873e-13
3510.5000,3.821676e-13
3512.8800,3.796534e-13
3515.2600,3.797341e-13
3517.6400,3.812944e-13
3520.0200,3.819726e-13
3522.4000,3.846929e-13
3524.7800,3.861371e-13
3527.1600,3.866869e-13
3529.5400,3.855520e-13
3531.9200,3.888514e-13
3534.3000,3.902001e-13
3536.6800,3.927564e-13
3539.0600,3.952582e-13
3541.4400,3.956651e-13
3543.8200,3.971423e-13
3546.2000,3.951537e-13
3548.5800,3.952471e-13
3550.9600,3.962383e-13
3553.3400,3.966193e-13
3555.7200,3.965210e-13
3558.1000,3.978482e-13
3560.4800,3.999042e-13
3562.8600,4.005412e-13
3565.2400,4.008311e-13
3567.6200,4.009224e-13
3570.0000,3.999760e-13
3572.3800,3.992079e-13
3574.7600,3.998802e-13
3577.1400,3.982461e-13
3579.5200,3.958674e-13
3581.9000,3.937816e-13
3584.2800,3.917612e-13
3586.6600,3.869710e-13
3589.0400,3.832903e-13
3591.4200,3.822018e-13
3593.8000,3.810245e-13
3596.1800,3.788178e-13
3598.5600,3.779645e-13
3600.9400,3.757356e-13
3603.3200,3.740486e-13
3605.7000,3.739073e-13
3608.0800,3.716372e-13
3610.4600,3.698798e-13
3612.8400,3.666723e-13
3615.2200,3.637885e-13
3617.6000,3.603967e-13
3619.9800,3.586359e-13
3622.3600,3.582273e-13
3624.7400,3.572874e-13
3627.1200,3.537770e-13
3629.5000,3.520507e-13
3631.8800,3.507781e-13
3634.2600,3.476009e-13
3636.6400,3.436390e-13
3639.0200,3.399586e-13
3641.4000,3.349548e-13
3643.7800,3.282395e-13
3646.1600,3.208551e-13
3648.5400,3.128055e-13
3650.9200,3.043756e-13
3653.3000,2.965356e-13
3655.6800,2.883287e-13
3658.0600,2.804667e-13
3660.4400,2.710605e-13
3662.8200,2.632788e-13
3665.2000,2.545751e-13
3667.5800,2.481570e-13
3669.9600,2.429617e-13
3672.3400,2.347743e-13
3674.7200,2.266657e-13
3677.1000,2.186861e-13
3679.4800,2.109241e-13
