# SN 2011fe observed spectrum
# Phase: +9.2 days from B-max (MJD 55814.0)
# t_exp: 26.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3301.0600,1.553885e-13
3303.4400,1.539037e-13
3305.8200,1.568656e-13
3308.2000,1.593649e-13
3310.5800,1.581274e-13
3312.9600,1.556686e-13
3315.3400,1.542201e-13
3317.7200,1.537633e-13
3320.1000,1.518219e-13
3322.4800,1.504804e-13
3324.8600,1.510819e-13
3327.2400,1.489308e-13
3329.6200,1.511541e-13
3332.0000,1.505577e-13
3334.3800,1.506301e-13
3336.7600,1.507760e-13
3339.1400,1.506160e-13
3341.5200,1.498999e-13
3343.9000,1.489205e-13
3346.2800,1.465769e-13
3348.6600,1.455825e-13
3351.0400,1.463404e-13
3353.4200,1.453999e-13
3355.8000,1.451628e-13
3358.1800,1.452358e-13
3360.5600,1.444559e-13
3362.9400,1.471877e-13
3365.3200,1.468803e-13
3367.7000,1.475660e-13
3370.0800,1.486108e-13
3372.4600,1.478722e-13
3374.8400,1.456860e-13
3377.2200,1.472396e-13
3379.6000,1.471236e-13
3381.9800,1.471257e-13
3384.3600,1.513026e-13
3386.7400,1.542620e-13
3389.1200,1.578020e-13
3391.5000,1.608242e-13
3393.8800,1.645020e-13
3396.2600,1.688889e-13
3398.6400,1.711486e-13
3401.0200,1.704073e-13
3403.4000,1.724219e-13
3405.7800,1.716620e-13
3408.1600,1.727200e-13
3410.5400,1.735797e-13
3412.9200,1.735907e-13
3415.3000,1.757857e-13
3417.6800,1.740434e-13
3420.0600,1.727404e-13
3422.4400,1.758025e-13
3424.8200,1.759252e-13
3427.2000,1.747935e-13
3429.5800,1.746624e-13
3431.9600,1.763242e-13
3434.3400,1.762683e-13
3436.7200,1.792069e-13
3439.1000,1.811354e-13
3441.4800,1.812814e-13
3443.8600,1.841567e-13
3446.2400,1.871702e-13
3448.6200,1.852999e-13
3451.0000,1.875240e-13
3453.3800,1.895146e-13
3455.7600,1.904066e-13
3458.1400,1.929396e-13
3460.5200,1.913117e-13
3462.9000,1.900382e-13
3465.2800,1.932438e-13
3467.6600,1.934197e-13
3470.0400,1.939888e-13
3472.4200,1.943322e-13
3474.8000,1.939004e-13
3477.1800,1.967857e-13
3479.5600,1.960739e-13
3481.9400,1.989051e-13
3484.3200,2.021384e-13
3486.7000,2.043009e-13
3489.0800,2.065589e-13
3491.4600,2.143651e-13
3493.8400,2.201666e-13
3496.2200,2.258277e-13
3498.6000,2.303713e-13
3500.9800,2.361071e-13
3503.3600,2.409170e-13
3505.7400,2.492981e-13
3508.1200,2.556147e-13
3510.5000,2.606576e-13
3512.8800,2.693629e-13
3515.2600,2.737151e-13
3517.6400,2.781240e-13
3520.0200,2.863971e-13
3522.4000,2.905028e-13
