wavelength_angstrom,flux_erg_s_cm2_angstrom,error
1.663310e+03,8.599754e-15,1.229002e-14
1.664680e+03,1.943735e-14,1.086117e-14
1.666051e+03,4.567725e-14,1.113193e-14
1.667421e+03,9.994448e-15,9.875622e-15
1.668792e+03,1.900987e-14,9.808948e-15
1.670162e+03,2.256061e-14,9.593285e-15
1.671532e+03,6.448272e-15,8.832219e-15
1.672903e+03,1.787028e-14,8.894342e-15
1.674273e+03,-5.146804e-15,1.491331e-14
1.675644e+03,3.304433e-14,8.801984e-15
1.677014e+03,8.416937e-15,7.984919e-15
1.678385e+03,3.120305e-14,8.035507e-15
1.679755e+03,3.754672e-14,8.750872e-15
1.681126e+03,9.804452e-15,7.347809e-15
1.682496e+03,-3.799801e-16,8.342234e-15
1.683867e+03,3.935003e-14,7.450869e-15
1.685238e+03,1.748819e-14,8.971037e-15
1.686608e+03,8.352139e-14,1.304518e-14
1.687979e+03,-8.907189e-13,2.205118e-14
1.689349e+03,2.223077e-14,6.024596e-15
1.690720e+03,6.903451e-15,5.797934e-15
1.692091e+03,1.030175e-14,6.265956e-15
1.693461e+03,1.667038e-14,7.425493e-15
1.694832e+03,1.388946e-14,5.722766e-15
1.696203e+03,1.658648e-14,5.509732e-15
1.697573e+03,2.025340e-14,5.374009e-15
1.698944e+03,1.385600e-14,8.041863e-15
1.700315e+03,1.303924e-14,4.912940e-15
1.701686e+03,5.400420e-15,4.719984e-15
1.703056e+03,2.219987e-14,5.021315e-15
1.704427e+03,1.932067e-14,4.748003e-15
1.705798e+03,8.635303e-15,4.540475e-15
1.707169e+03,1.254789e-14,4.489074e-15
1.708540e+03,1.881636e-14,4.575028e-15
1.709911e+03,1.029017e-14,4.463905e-15
1.711281e+03,8.762110e-15,4.592299e-15
1.712652e+03,6.217897e-15,6.749939e-15
1.714023e+03,2.161850e-14,4.507884e-15
1.715394e+03,1.025538e-14,4.217439e-15
1.716765e+03,1.121976e-14,4.382066e-15
1.718136e+03,2.062445e-14,4.148973e-15
1.719507e+03,8.874007e-15,4.003265e-15
1.720878e+03,2.073856e-14,4.154779e-15
1.722249e+03,6.500099e-14,1.128655e-14
1.723620e+03,1.464595e-14,3.812913e-15
1.724991e+03,6.305733e-15,3.735283e-15
1.726362e+03,1.688175e-14,3.874312e-15
1.727733e+03,-5.497852e-15,1.008740e-14
1.729104e+03,7.039014e-15,3.501861e-15
1.730475e+03,1.684939e-14,3.611923e-15
1.731846e+03,1.727196e-14,3.606715e-15
1.733217e+03,1.449662e-14,3.462702e-15
1.734588e+03,6.044817e-15,3.443336e-15
1.735959e+03,1.620581e-14,3.680337e-15
1.737330e+03,1.950774e-14,3.534118e-15
1.738701e+03,-4.799923e-15,3.899772e-15
1.740072e+03,1.048200e-14,3.347513e-15
1.741444e+03,1.576580e-14,3.327336e-15
1.742815e+03,4.987800e-15,3.009132e-15
1.744186e+03,4.313617e-15,3.157753e-15
1.745557e+03,1.398719e-14,3.222916e-15
1.746928e+03,1.405870e-14,3.122296e-15
1.748299e+03,1.015423e-14,3.084497e-15
1.749671e+03,1.281428e-14,3.039205e-15
1.751042e+03,2.072412e-14,3.174521e-15
1.752413e+03,9.204638e-15,3.024110e-15
1.753784e+03,1.154791e-14,2.930977e-15
1.755156e+03,1.229050e-14,2.902906e-15
1.756527e+03,1.400670e-14,3.116353e-15
1.757898e+03,7.845898e-15,2.858449e-15
1.759270e+03,9.818415e-15,3.094598e-15
1.760641e+03,1.221197e-14,2.712223e-15
1.762012e+03,1.325234e-14,2.798047e-15
1.763384e+03,1.115868e-14,3.226952e-15
1.764755e+03,1.597602e-14,2.835716e-15
1.766126e+03,1.514403e-14,3.417863e-15
1.767498e+03,6.148182e-15,2.926935e-15
1.768869e+03,1.203912e-14,2.593246e-15
1.770241e+03,1.579567e-14,2.685053e-15
1.771612e+03,5.945943e-15,2.636534e-15
1.772984e+03,1.016945e-14,2.648864e-15
1.774355e+03,1.152777e-14,2.623574e-15
1.775726e+03,1.101706e-14,2.605149e-15
1.777098e+03,1.705659e-14,4.456907e-15
1.778469e+03,1.476393e-14,2.579465e-15
1.779841e+03,1.738873e-14,2.537492e-15
1.781213e+03,9.182049e-15,2.384493e-15
1.782584e+03,8.524994e-15,2.373671e-15
1.783956e+03,1.366682e-14,2.573897e-15
1.785327e+03,1.408941e-14,2.399334e-15
1.786699e+03,9.669895e-15,2.463644e-15
1.788070e+03,1.558174e-14,2.364857e-15
1.789442e+03,1.270840e-14,2.773604e-15
