wavelength_angstrom,flux_erg_s_cm2_angstrom,error
1.663423e+03,4.540417e-14,2.026851e-14
1.664793e+03,7.373143e-14,2.061164e-14
1.666163e+03,5.772397e-14,1.909780e-14
1.667534e+03,5.184438e-14,1.804424e-14
1.668904e+03,2.054956e-14,1.649324e-14
1.670275e+03,3.187579e-14,1.913115e-14
1.671645e+03,4.605483e-14,1.617077e-14
1.673015e+03,1.980438e-14,1.667844e-14
1.674386e+03,3.845209e-14,1.563592e-14
1.675756e+03,-6.198571e-15,1.520556e-14
1.677127e+03,5.109846e-14,1.538798e-14
1.678497e+03,3.704063e-14,1.474153e-14
1.679868e+03,2.497778e-14,1.420456e-14
1.681238e+03,5.218233e-14,1.318808e-14
1.682609e+03,-1.761359e-14,1.309224e-14
1.683980e+03,2.159157e-14,1.940672e-14
1.685350e+03,5.906622e-14,1.714403e-14
1.686721e+03,2.866203e-12,1.070234e-13
1.688091e+03,3.571051e-14,1.107786e-14
1.689462e+03,3.389396e-14,1.093614e-14
1.690833e+03,2.524661e-14,1.045243e-14
1.692203e+03,4.701962e-15,1.546029e-14
1.693574e+03,-1.212149e-16,9.790845e-15
1.694945e+03,1.245294e-14,9.254267e-15
1.696315e+03,2.241299e-14,9.480449e-15
1.697686e+03,1.291645e-14,1.155251e-14
1.699057e+03,2.816341e-14,9.198680e-15
1.700427e+03,1.407978e-14,8.513645e-15
1.701798e+03,2.542870e-14,9.555359e-15
1.703169e+03,2.569382e-14,8.660510e-15
1.704540e+03,3.409978e-14,8.994994e-15
1.705910e+03,2.577796e-14,8.391316e-15
1.707281e+03,2.687545e-14,8.131059e-15
1.708652e+03,3.535685e-14,8.315338e-15
1.710023e+03,1.872411e-14,8.304622e-15
1.711394e+03,-3.291045e-14,2.294664e-14
1.712765e+03,1.777945e-14,7.590208e-15
1.714135e+03,3.520230e-14,8.139049e-15
1.715506e+03,6.391440e-15,7.640038e-15
1.716877e+03,1.729755e-14,7.245259e-15
1.718248e+03,2.650106e-14,7.923177e-15
1.719619e+03,2.054630e-14,7.014940e-15
1.720990e+03,2.581561e-14,7.392719e-15
1.722361e+03,2.468500e-14,2.381129e-14
1.723732e+03,1.516374e-14,6.578202e-15
1.725103e+03,2.586070e-14,6.862730e-15
1.726474e+03,1.607384e-14,6.492458e-15
1.727845e+03,2.161757e-14,6.486552e-15
1.729216e+03,1.724726e-14,6.398020e-15
1.730587e+03,1.381073e-14,6.263431e-15
1.731958e+03,2.118876e-14,6.385449e-15
1.733329e+03,2.094209e-14,6.455334e-15
1.734700e+03,1.684663e-14,6.053618e-15
1.736071e+03,1.619771e-14,5.942679e-15
1.737442e+03,1.613505e-14,5.877131e-15
1.738813e+03,9.474022e-15,5.620955e-15
1.740185e+03,2.203191e-14,6.377885e-15
