wavelength_angstrom,flux_erg_s_cm2_angstrom,error
2.888787e+03,7.354015e-14,8.896109e-15
2.891532e+03,5.571161e-14,5.731296e-15
2.894277e+03,8.480167e-14,5.625373e-15
2.897022e+03,8.006405e-14,4.824770e-15
2.899767e+03,8.864069e-14,4.574138e-15
2.902512e+03,9.508574e-14,4.351003e-15
2.905256e+03,1.016311e-13,4.125100e-15
2.908001e+03,1.110571e-13,3.974992e-15
2.910746e+03,1.183830e-13,4.791688e-15
2.913491e+03,1.056370e-13,3.448149e-15
2.916236e+03,1.098584e-13,3.278139e-15
2.918981e+03,1.061997e-13,2.989804e-15
2.921726e+03,1.037684e-13,3.465386e-15
2.924471e+03,1.009413e-13,3.451868e-15
2.927216e+03,1.001332e-13,3.356207e-15
2.929961e+03,1.009528e-13,2.668724e-15
2.932706e+03,1.023686e-13,2.204699e-15
2.935452e+03,1.049528e-13,2.085529e-15
2.938197e+03,1.054111e-13,2.813186e-15
2.940942e+03,1.008769e-13,1.668661e-15
2.943687e+03,1.001960e-13,1.570372e-15
2.946432e+03,1.044386e-13,1.567278e-15
2.949177e+03,1.037630e-13,1.594503e-15
2.951923e+03,1.102321e-13,1.386182e-15
2.954668e+03,1.093956e-13,1.317243e-15
2.957413e+03,1.137135e-13,1.278551e-15
2.960159e+03,1.181047e-13,1.301015e-15
2.962904e+03,1.186371e-13,1.208898e-15
2.965649e+03,1.246108e-13,1.202047e-15
2.968395e+03,1.244215e-13,1.170996e-15
2.971140e+03,1.253091e-13,1.142473e-15
2.973885e+03,1.243088e-13,1.115070e-15
2.976631e+03,1.247499e-13,1.101136e-15
2.979376e+03,1.271717e-13,1.093580e-15
2.982122e+03,1.269004e-13,1.090816e-15
2.984867e+03,1.251130e-13,1.074804e-15
2.987613e+03,1.226769e-13,1.096118e-15
2.990358e+03,1.219594e-13,1.046592e-15
2.993104e+03,1.206744e-13,1.026661e-15
2.995850e+03,1.187402e-13,1.012444e-15
2.998595e+03,1.184937e-13,9.981485e-16
