wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.256609e+03,3.291966e-13,1.643124e-14
5.261477e+03,2.559521e-13,1.939815e-15
5.266346e+03,2.601755e-13,1.802489e-15
5.271215e+03,2.735218e-13,1.715161e-15
5.276084e+03,2.877515e-13,1.647776e-15
5.280952e+03,2.969905e-13,1.588291e-15
5.285821e+03,3.037602e-13,1.522008e-15
5.290690e+03,3.062149e-13,1.520990e-15
5.295559e+03,3.125937e-13,1.416849e-15
5.300429e+03,3.064169e-13,1.352256e-15
5.305298e+03,3.103212e-13,1.332580e-15
5.310167e+03,3.082396e-13,1.299169e-15
5.315036e+03,3.138509e-13,1.304953e-15
5.319906e+03,3.159571e-13,1.306231e-15
5.324775e+03,3.223150e-13,1.330272e-15
5.329645e+03,3.213722e-13,1.330134e-15
5.334514e+03,3.295721e-13,1.360394e-15
5.339384e+03,3.261151e-13,1.366845e-15
5.344253e+03,3.277302e-13,1.391685e-15
5.349123e+03,3.227339e-13,1.393788e-15
5.353993e+03,3.250859e-13,1.409938e-15
5.358863e+03,3.215370e-13,1.417961e-15
5.363733e+03,3.164649e-13,1.506706e-15
5.368603e+03,3.187212e-13,1.429675e-15
5.373473e+03,3.173022e-13,1.431734e-15
5.378343e+03,3.215779e-13,1.480008e-15
5.383213e+03,3.227211e-13,1.441423e-15
5.388083e+03,3.225599e-13,1.436250e-15
5.392953e+03,3.231085e-13,1.434605e-15
5.397823e+03,3.191067e-13,1.413040e-15
5.402694e+03,3.115536e-13,1.556075e-15
5.407564e+03,3.141036e-13,1.381494e-15
5.412435e+03,3.139495e-13,1.371027e-15
5.417305e+03,3.130057e-13,1.353172e-15
5.422176e+03,3.115982e-13,1.339109e-15
5.427046e+03,3.078851e-13,1.344608e-15
5.431917e+03,3.082978e-13,1.303920e-15
5.436788e+03,3.041072e-13,1.276541e-15
5.441659e+03,2.961219e-13,1.247397e-15
5.446529e+03,2.857669e-13,1.213217e-15
5.451400e+03,2.804958e-13,1.187936e-15
5.456271e+03,2.742699e-13,1.162499e-15
5.461142e+03,2.696506e-13,1.143730e-15
5.466013e+03,2.640050e-13,1.120064e-15
5.470885e+03,2.556567e-13,1.298239e-15
5.475756e+03,2.501071e-13,1.073053e-15
5.480627e+03,2.371659e-13,1.038670e-15
5.485498e+03,2.350140e-13,1.025563e-15
5.490370e+03,2.311156e-13,1.056350e-15
5.495241e+03,2.294712e-13,1.009196e-15
5.500112e+03,2.316870e-13,1.007937e-15
5.504984e+03,2.372187e-13,1.020537e-15
5.509856e+03,2.455524e-13,1.037899e-15
5.514727e+03,2.504870e-13,1.047920e-15
5.519599e+03,2.658316e-13,1.077741e-15
5.524471e+03,2.695228e-13,1.083125e-15
5.529342e+03,2.796774e-13,1.102374e-15
5.534214e+03,2.791078e-13,1.099226e-15
5.539086e+03,2.826558e-13,1.150693e-15
5.543958e+03,2.949152e-13,1.129043e-15
5.548830e+03,2.936896e-13,1.127088e-15
5.553702e+03,2.989028e-13,1.135037e-15
5.558574e+03,2.980958e-13,1.133270e-15
5.563446e+03,2.968895e-13,1.126914e-15
5.568319e+03,2.966130e-13,1.260352e-15
5.573191e+03,2.995266e-13,1.130853e-15
5.578063e+03,2.988606e-13,1.131413e-15
5.582936e+03,2.969539e-13,1.125130e-15
5.587808e+03,2.947364e-13,1.117481e-15
5.592681e+03,2.933443e-13,1.113514e-15
5.597553e+03,2.947052e-13,1.112280e-15
5.602426e+03,2.919652e-13,1.105534e-15
5.607298e+03,2.871607e-13,1.223726e-15
5.612171e+03,2.885431e-13,1.093441e-15
5.617044e+03,2.859963e-13,1.086062e-15
5.621917e+03,2.862299e-13,1.090160e-15
5.626789e+03,2.833744e-13,1.084052e-15
5.631662e+03,2.796865e-13,1.067080e-15
5.636535e+03,2.823489e-13,1.066842e-15
5.641408e+03,2.742578e-13,1.048047e-15
5.646281e+03,2.725574e-13,1.043130e-15
5.651155e+03,2.684725e-13,1.029692e-15
5.656028e+03,2.647969e-13,1.027376e-15
5.660901e+03,2.627297e-13,1.019860e-15
5.665774e+03,2.604507e-13,1.011914e-15
5.670647e+03,2.560781e-13,1.154527e-15
5.675521e+03,2.564516e-13,1.001410e-15
5.680394e+03,2.543991e-13,9.987295e-16
5.685268e+03,2.516703e-13,9.861445e-16
5.690141e+03,2.475754e-13,9.804646e-16
5.695015e+03,2.462910e-13,9.765185e-16
5.699888e+03,2.427006e-13,9.668184e-16
5.704762e+03,2.392289e-13,9.601771e-16
5.709636e+03,2.370583e-13,9.512274e-16
5.714510e+03,2.385194e-13,9.532567e-16
5.719383e+03,2.333633e-13,9.394501e-16
5.724257e+03,2.315049e-13,9.356063e-16
5.729131e+03,2.321802e-13,9.377201e-16
5.734005e+03,2.289628e-13,9.284571e-16
5.738879e+03,2.274655e-13,1.069048e-15
5.743753e+03,2.259841e-13,9.586317e-16
5.748627e+03,2.274341e-13,9.220871e-16
5.753502e+03,2.279780e-13,9.250374e-16
5.758376e+03,2.240227e-13,9.120510e-16
5.763250e+03,2.284247e-13,9.200359e-16
5.768124e+03,2.305266e-13,9.219070e-16
5.772999e+03,2.324637e-13,9.282540e-16
5.777873e+03,2.325890e-13,9.245162e-16
