wavelength_angstrom,flux_erg_s_cm2_angstrom,error
1.119788e+03,0.000000e+00,0.000000e+00
1.120371e+03,0.000000e+00,0.000000e+00
1.120955e+03,0.000000e+00,0.000000e+00
1.121539e+03,0.000000e+00,0.000000e+00
1.122122e+03,0.000000e+00,0.000000e+00
1.122706e+03,0.000000e+00,0.000000e+00
1.123289e+03,0.000000e+00,0.000000e+00
1.123873e+03,0.000000e+00,0.000000e+00
1.124457e+03,0.000000e+00,0.000000e+00
1.125040e+03,0.000000e+00,0.000000e+00
1.125624e+03,0.000000e+00,0.000000e+00
1.126208e+03,0.000000e+00,0.000000e+00
1.126791e+03,0.000000e+00,0.000000e+00
1.127375e+03,0.000000e+00,0.000000e+00
1.127959e+03,0.000000e+00,0.000000e+00
1.128542e+03,0.000000e+00,0.000000e+00
1.129126e+03,0.000000e+00,0.000000e+00
1.129710e+03,0.000000e+00,0.000000e+00
1.130293e+03,0.000000e+00,0.000000e+00
1.130877e+03,0.000000e+00,0.000000e+00
1.131460e+03,0.000000e+00,0.000000e+00
1.132044e+03,0.000000e+00,0.000000e+00
1.132628e+03,0.000000e+00,0.000000e+00
1.133211e+03,0.000000e+00,0.000000e+00
1.133795e+03,0.000000e+00,0.000000e+00
1.134379e+03,0.000000e+00,0.000000e+00
1.134962e+03,0.000000e+00,0.000000e+00
1.135546e+03,0.000000e+00,0.000000e+00
1.136129e+03,0.000000e+00,0.000000e+00
1.136713e+03,0.000000e+00,0.000000e+00
1.137297e+03,0.000000e+00,0.000000e+00
1.137880e+03,0.000000e+00,0.000000e+00
1.138464e+03,-2.513551e-14,1.188722e-14
1.139048e+03,-1.298425e-14,1.619898e-18
1.139631e+03,-7.897238e-15,9.993889e-19
1.140215e+03,-4.602525e-15,1.359313e-15
1.140798e+03,-4.437264e-15,5.642788e-19
1.141382e+03,-2.448119e-15,1.061281e-15
1.141966e+03,-1.863623e-15,9.386968e-16
1.142549e+03,-1.163722e-15,8.613364e-16
1.143133e+03,-1.243913e-15,5.905084e-16
1.143716e+03,-5.739250e-16,6.693402e-16
1.144300e+03,-4.148938e-16,5.731934e-16
1.144884e+03,-1.078516e-15,1.253078e-19
1.145467e+03,-4.669357e-16,3.681777e-16
1.146051e+03,-3.414994e-16,3.360148e-16
1.146634e+03,2.927329e-16,4.758691e-16
1.147218e+03,-4.544005e-16,2.015613e-16
1.147802e+03,-4.164944e-16,1.803607e-16
1.148385e+03,-2.762888e-16,2.135920e-16
1.148969e+03,-4.157195e-16,1.142713e-16
1.149552e+03,-4.671591e-16,5.508451e-20
1.150136e+03,-4.346566e-16,5.321230e-20
1.150719e+03,-3.563230e-16,7.429143e-17
1.151303e+03,-3.774243e-16,4.637739e-20
1.151887e+03,5.853411e-17,2.051745e-16
1.152470e+03,-2.324093e-16,9.755116e-17
1.153054e+03,-8.856766e-17,1.428692e-16
1.153637e+03,-1.147670e-16,1.262535e-16
1.154221e+03,-1.994134e-16,7.761277e-17
1.154804e+03,-1.117331e-16,1.083257e-16
1.155388e+03,-7.665196e-17,1.134984e-16
1.155972e+03,-2.434977e-16,2.766649e-20
1.156555e+03,-1.031175e-16,9.315057e-17
1.157139e+03,-1.614494e-16,6.697035e-17
1.157722e+03,-1.352865e-16,7.278167e-17
1.158306e+03,-2.166818e-16,2.496070e-20
1.158889e+03,-8.980368e-17,8.605083e-17
1.159473e+03,-9.261511e-17,8.035152e-17
1.160056e+03,2.657700e-17,1.143133e-16
1.160640e+03,-3.176988e-17,9.561966e-17
1.161224e+03,-1.376415e-16,5.526643e-17
1.161807e+03,-8.842919e-17,7.425419e-17
1.162391e+03,-8.070798e-17,7.369310e-17
1.162974e+03,-1.031715e-16,6.143922e-17
1.163558e+03,-2.255854e-17,8.941117e-17
1.164141e+03,5.088970e-17,1.019123e-16
1.164725e+03,-1.206385e-16,4.994257e-17
1.165308e+03,-1.089852e-17,8.461269e-17
1.165892e+03,-1.647707e-16,1.759847e-20
1.166475e+03,-4.221055e-17,7.510803e-17
1.167059e+03,-1.604040e-16,1.731613e-20
1.167643e+03,1.794212e-16,1.193815e-16
1.168226e+03,-1.562979e-16,1.670382e-20
1.168810e+03,1.040647e-17,8.228510e-17
1.169393e+03,-7.092726e-17,5.735145e-17
1.169977e+03,-1.341804e-17,7.377269e-17
1.170560e+03,-1.476826e-16,1.571988e-20
1.171144e+03,-6.778467e-17,5.455980e-17
1.171727e+03,-1.045201e-16,3.808169e-17
1.172311e+03,-7.745588e-18,6.994613e-17
1.172894e+03,-4.766845e-17,5.788820e-17
1.173478e+03,-6.543615e-17,4.931435e-17
1.174061e+03,3.530831e-17,8.665086e-17
1.174645e+03,-2.695715e-17,6.010386e-17
1.175228e+03,-9.543767e-17,3.357947e-17
1.175812e+03,2.179237e-16,1.083636e-16
1.176395e+03,-9.182623e-17,3.377009e-17
1.176979e+03,-2.580211e-17,5.682662e-17
1.177562e+03,4.023720e-18,6.335706e-17
1.178146e+03,-9.516189e-18,6.057663e-17
1.178729e+03,4.277228e-18,6.209782e-17
1.179313e+03,5.209881e-18,6.204801e-17
1.179896e+03,-1.289067e-17,5.655440e-17
1.180480e+03,-9.983544e-18,5.619220e-17
1.181063e+03,-4.529079e-17,4.464061e-17
1.181647e+03,-1.112328e-17,5.555799e-17
1.182230e+03,4.528229e-18,6.010576e-17
1.182814e+03,9.463914e-17,7.777702e-17
1.183397e+03,1.503160e-16,8.474415e-17
1.183981e+03,-9.165455e-18,5.242573e-17
1.184564e+03,2.622452e-18,5.498992e-17
1.185148e+03,-7.636038e-18,5.208129e-17
1.185731e+03,-2.651249e-17,4.514124e-17
1.186315e+03,-2.602440e-17,4.490216e-17
1.186898e+03,-1.557027e-17,4.709117e-17
1.187482e+03,-1.635162e-17,4.804347e-17
1.188065e+03,7.429467e-17,6.608493e-17
1.188649e+03,3.771111e-17,5.904036e-17
1.189232e+03,1.139144e-17,5.130846e-17
1.189816e+03,1.215860e-18,4.941924e-17
1.190399e+03,-2.510460e-17,4.117834e-17
1.190983e+03,4.987463e-17,5.937618e-17
1.191566e+03,8.209359e-18,4.882287e-17
1.192150e+03,1.152603e-17,4.996789e-17
1.192733e+03,-1.519024e-18,4.537068e-17
1.193317e+03,-4.463748e-17,3.304325e-17
1.193900e+03,3.765615e-17,5.307037e-17
1.194483e+03,-2.398613e-17,3.787384e-17
1.195067e+03,-4.631583e-17,2.985825e-17
1.195650e+03,9.467370e-18,4.646992e-17
1.196234e+03,7.848354e-17,5.852369e-17
1.196817e+03,5.386524e-17,5.548873e-17
1.197401e+03,-1.642639e-17,3.751346e-17
1.197984e+03,6.630137e-17,5.723605e-17
1.198568e+03,4.742066e-17,5.395152e-17
1.199151e+03,3.687061e-17,4.833393e-17
1.199735e+03,3.105270e-17,4.821887e-17
1.200318e+03,-2.404973e-17,3.367486e-17
1.200901e+03,1.743669e-17,4.439588e-17
1.201485e+03,8.603142e-18,4.179821e-17
1.202068e+03,3.914736e-17,4.993376e-17
1.202652e+03,1.825461e-17,4.324468e-17
1.203235e+03,7.555155e-17,5.616112e-17
1.203819e+03,6.398545e-17,5.162803e-17
1.204402e+03,1.364455e-16,6.562913e-17
1.204986e+03,3.519193e-17,4.595364e-17
1.205569e+03,1.100498e-16,5.798678e-17
1.206152e+03,8.628643e-17,5.622322e-17
1.206736e+03,5.969598e-17,4.984275e-17
1.207319e+03,1.900394e-16,6.908324e-17
1.207903e+03,1.417829e-16,6.262720e-17
1.208486e+03,1.770484e-16,6.723346e-17
1.209070e+03,-1.339455e-16,4.674826e-17
1.209653e+03,-1.468546e-16,6.232247e-17
1.210236e+03,-6.224212e-17,7.705111e-17
1.210820e+03,1.772954e-17,9.490866e-17
1.211403e+03,-2.309269e-16,9.193001e-17
1.211987e+03,-1.028072e-15,1.037488e-16
1.212570e+03,-2.847977e-15,1.545439e-16
1.213154e+03,-3.411720e-15,2.446405e-16
1.213737e+03,6.655265e-16,4.209259e-16
1.214320e+03,1.706418e-16,4.514600e-16
1.214904e+03,-5.768780e-16,4.499004e-16
1.215487e+03,-4.490693e-17,4.649270e-16
1.216071e+03,4.480144e-16,4.551736e-16
1.216654e+03,9.029108e-16,4.578953e-16
1.217237e+03,1.746924e-15,4.303448e-16
1.217821e+03,2.534968e-15,3.844986e-16
1.218404e+03,-5.709616e-16,2.252495e-16
1.218988e+03,1.849126e-16,1.412788e-16
1.219571e+03,2.316116e-17,1.043829e-16
1.220154e+03,2.090169e-17,8.534511e-17
1.220738e+03,2.030699e-16,8.326468e-17
1.221321e+03,-1.416616e-17,5.636838e-17
1.221905e+03,2.100711e-17,5.845051e-17
1.222488e+03,-1.296163e-17,5.762613e-17
1.223071e+03,-3.036807e-17,4.450052e-17
1.223655e+03,1.156622e-18,5.910352e-17
1.224238e+03,4.314734e-17,5.304498e-17
1.224821e+03,1.494727e-16,5.559034e-17
1.225405e+03,1.322543e-16,5.137531e-17
1.225988e+03,1.114804e-16,4.946669e-17
1.226572e+03,8.485750e-17,4.396126e-17
1.227155e+03,2.517738e-17,3.439877e-17
1.227738e+03,6.352404e-17,4.135719e-17
1.228322e+03,6.520248e-17,4.123744e-17
1.228905e+03,9.892305e-17,4.476901e-17
1.229488e+03,8.646017e-17,4.413974e-17
1.230072e+03,5.355789e-17,3.870824e-17
1.230655e+03,4.960926e-17,3.772165e-17
1.231239e+03,5.190454e-17,3.783349e-17
1.231822e+03,6.210252e-17,3.941288e-17
1.232405e+03,7.257875e-17,4.054527e-17
1.232989e+03,2.931614e-17,3.344559e-17
1.233572e+03,3.396029e-17,3.306214e-17
1.234155e+03,3.752784e-17,3.476294e-17
1.234739e+03,4.189640e-17,3.427796e-17
1.235322e+03,2.153961e-16,5.711527e-17
1.235905e+03,7.764381e-17,4.075051e-17
1.236489e+03,3.553613e-17,3.339952e-17
1.237072e+03,5.671723e-17,3.638511e-17
1.237655e+03,1.515829e-16,4.965076e-17
1.238239e+03,3.651601e-17,3.342847e-17
1.238822e+03,-2.622752e-17,1.712611e-17
1.239406e+03,-4.269686e-18,2.393477e-17
1.239989e+03,-3.849917e-18,2.351758e-17
1.240572e+03,6.614466e-18,2.600606e-17
1.241156e+03,2.193050e-17,2.958686e-17
1.241739e+03,7.646504e-17,3.803716e-17
1.242322e+03,2.166098e-17,2.930572e-17
1.242906e+03,5.949923e-17,3.710341e-17
1.243489e+03,7.276601e-18,2.517195e-17
1.244072e+03,-6.059950e-18,2.201855e-17
1.244656e+03,2.869840e-17,2.949150e-17
1.245239e+03,8.563301e-17,3.873911e-17
1.245822e+03,5.474244e-17,3.458780e-17
1.246406e+03,9.795788e-17,4.100911e-17
1.246989e+03,6.362900e-17,3.550801e-17
1.247572e+03,-1.444797e-17,1.965886e-17
1.248155e+03,3.877292e-17,3.077174e-17
1.248739e+03,3.945407e-17,3.095547e-17
1.249322e+03,7.579014e-17,3.730470e-17
1.249905e+03,1.072794e-16,4.134567e-17
1.250489e+03,4.984699e-17,3.235130e-17
1.251072e+03,2.990117e-17,2.921415e-17
1.251655e+03,4.026253e-17,3.103226e-17
1.252239e+03,-2.828511e-18,2.211029e-17
1.252822e+03,1.033123e-17,2.551136e-17
1.253405e+03,2.849612e-17,2.845902e-17
1.253989e+03,2.165208e-17,2.796562e-17
1.254572e+03,1.685058e-17,2.588873e-17
1.255155e+03,7.231326e-18,2.397523e-17
1.255739e+03,4.121908e-17,3.097661e-17
1.256322e+03,7.273945e-18,2.392367e-17
1.256905e+03,1.686203e-17,2.570149e-17
