wavelength_angstrom,flux_erg_s_cm2_angstrom,error
1.119794e+03,0.000000e+00,0.000000e+00
1.120378e+03,0.000000e+00,0.000000e+00
1.120961e+03,0.000000e+00,0.000000e+00
1.121545e+03,0.000000e+00,0.000000e+00
1.122129e+03,0.000000e+00,0.000000e+00
1.122712e+03,0.000000e+00,0.000000e+00
1.123296e+03,0.000000e+00,0.000000e+00
1.123880e+03,0.000000e+00,0.000000e+00
1.124463e+03,0.000000e+00,0.000000e+00
1.125047e+03,0.000000e+00,0.000000e+00
1.125630e+03,0.000000e+00,0.000000e+00
1.126214e+03,0.000000e+00,0.000000e+00
1.126798e+03,0.000000e+00,0.000000e+00
1.127381e+03,0.000000e+00,0.000000e+00
1.127965e+03,0.000000e+00,0.000000e+00
1.128549e+03,0.000000e+00,0.000000e+00
1.129132e+03,0.000000e+00,0.000000e+00
1.129716e+03,0.000000e+00,0.000000e+00
1.130300e+03,0.000000e+00,0.000000e+00
1.130883e+03,0.000000e+00,0.000000e+00
1.131467e+03,0.000000e+00,0.000000e+00
1.132050e+03,0.000000e+00,0.000000e+00
1.132634e+03,0.000000e+00,0.000000e+00
1.133218e+03,0.000000e+00,0.000000e+00
1.133801e+03,0.000000e+00,0.000000e+00
1.134385e+03,0.000000e+00,0.000000e+00
1.134969e+03,0.000000e+00,0.000000e+00
1.135552e+03,0.000000e+00,0.000000e+00
1.136136e+03,0.000000e+00,0.000000e+00
1.136719e+03,0.000000e+00,0.000000e+00
1.137303e+03,0.000000e+00,0.000000e+00
1.137887e+03,0.000000e+00,0.000000e+00
1.138470e+03,-2.515819e-14,1.620227e-14
1.139054e+03,-1.706715e-14,1.609077e-18
1.139638e+03,-1.040427e-14,9.957697e-19
1.140221e+03,-4.008852e-15,2.452713e-15
1.140805e+03,-1.591185e-15,2.460703e-15
1.141388e+03,-3.590805e-15,1.040130e-15
1.141972e+03,-3.693333e-15,3.669415e-19
1.142556e+03,-2.296152e-15,6.802670e-16
1.143139e+03,-4.733289e-17,1.185756e-15
1.143723e+03,3.427441e-16,1.049588e-15
1.144306e+03,-1.277207e-15,3.945269e-16
1.144890e+03,-1.305044e-16,6.460304e-16
1.145474e+03,-1.230308e-15,1.150409e-19
1.146057e+03,-1.077239e-15,9.307808e-20
1.146641e+03,-2.820125e-16,3.913835e-16
1.147224e+03,-8.644535e-16,7.900160e-20
1.147808e+03,-6.567802e-16,1.532383e-16
1.148392e+03,-5.620827e-16,1.580050e-16
1.148975e+03,-6.643903e-16,6.001409e-20
1.149559e+03,-9.518447e-17,2.700026e-16
1.150142e+03,-3.405703e-16,1.774284e-16
1.150726e+03,-4.072830e-16,1.241444e-16
1.151309e+03,-4.966460e-16,4.637378e-20
1.151893e+03,-3.590109e-16,1.040876e-16
1.152477e+03,-3.318572e-16,1.024066e-16
1.153060e+03,-4.081671e-16,3.596554e-20
1.153644e+03,-3.858043e-16,3.531391e-20
1.154227e+03,-2.605127e-16,9.157104e-17
1.154811e+03,-1.911544e-16,1.111607e-16
1.155394e+03,-1.889198e-16,1.016181e-16
1.155978e+03,-1.092657e-16,1.218608e-16
1.156562e+03,-2.422728e-16,6.674653e-17
1.157145e+03,-2.125026e-16,7.711640e-17
1.157729e+03,-1.672955e-16,8.795734e-17
1.158312e+03,-8.741555e-17,1.140365e-16
1.158896e+03,-2.168242e-16,6.117318e-17
1.159479e+03,-1.736599e-16,7.485566e-17
1.160063e+03,-9.342189e-17,9.937934e-17
1.160646e+03,-2.048986e-16,5.451657e-17
1.161230e+03,-9.023361e-17,9.428611e-17
1.161814e+03,-1.939146e-16,5.422520e-17
