wavelength_angstrom,flux_erg_s_cm2_angstrom,error
1.591346e+03,1.247001e-14,8.271265e-15
1.592890e+03,-4.663446e-15,7.499880e-15
1.594433e+03,-6.963973e-15,3.207422e-15
1.595977e+03,-5.857316e-15,4.122557e-15
1.597520e+03,-9.976962e-16,3.717074e-15
1.599064e+03,1.585877e-14,4.252229e-15
1.600607e+03,-1.269073e-15,3.257893e-15
1.602151e+03,-7.364207e-16,2.915635e-15
1.603695e+03,-1.730128e-15,2.814150e-15
1.605238e+03,-3.309506e-15,2.316108e-15
1.606782e+03,8.399968e-17,2.229346e-15
1.608325e+03,3.514566e-15,2.219063e-15
1.609869e+03,2.570184e-15,1.956942e-15
1.611412e+03,1.777760e-15,1.799650e-15
1.612956e+03,-6.033888e-16,1.548634e-15
1.614500e+03,2.549330e-15,1.594302e-15
1.616043e+03,1.087039e-15,1.385355e-15
1.617587e+03,-1.141916e-15,1.192357e-15
1.619130e+03,3.386352e-16,1.201706e-15
1.620674e+03,-8.965180e-16,1.026054e-15
1.622218e+03,1.135027e-15,1.094706e-15
1.623761e+03,6.675134e-16,1.018363e-15
1.625305e+03,7.270230e-16,9.421371e-16
1.626849e+03,-3.218441e-16,8.387103e-16
1.628392e+03,1.670186e-15,9.109111e-16
1.629936e+03,-3.742808e-16,7.457207e-16
1.631480e+03,-3.402182e-18,7.399842e-16
1.633023e+03,-1.307972e-16,7.015733e-16
1.634567e+03,-5.919255e-16,6.369026e-16
1.636111e+03,-1.877969e-17,6.390053e-16
1.637655e+03,-1.092055e-15,5.532637e-16
1.639198e+03,-2.016527e-16,5.822840e-16
1.640742e+03,-1.696774e-16,5.676043e-16
1.642286e+03,6.755118e-16,5.776317e-16
1.643830e+03,6.105421e-16,5.804338e-16
1.645373e+03,-2.538319e-16,4.990567e-16
1.646917e+03,1.211935e-15,5.627750e-16
1.648461e+03,-3.561037e-16,4.550640e-16
1.650005e+03,-1.711591e-16,4.732848e-16
1.651549e+03,4.937719e-16,4.857032e-16
1.653092e+03,-5.609388e-16,4.094941e-16
1.654636e+03,-4.079596e-16,4.073671e-16
1.656180e+03,-2.645265e-16,4.027080e-16
1.657724e+03,2.491016e-16,4.214029e-16
1.659268e+03,-1.486559e-16,3.951800e-16
1.660812e+03,-2.486433e-16,3.790793e-16
1.662355e+03,3.252884e-16,3.989278e-16
1.663899e+03,-9.976363e-17,3.714506e-16
1.665443e+03,-3.442102e-16,3.469428e-16
1.666987e+03,-1.714403e-16,3.486823e-16
1.668531e+03,-2.230581e-16,3.366820e-16
1.670075e+03,6.854464e-18,3.519699e-16
1.671619e+03,3.506129e-16,3.519926e-16
1.673163e+03,-2.410751e-16,3.217058e-16
1.674707e+03,-7.435270e-17,3.209801e-16
1.676251e+03,5.120839e-16,3.524677e-16
1.677795e+03,-1.847898e-16,3.058539e-16
1.679339e+03,2.421470e-16,3.228384e-16
1.680883e+03,1.608060e-16,3.100288e-16
1.682427e+03,-2.729961e-16,2.855476e-16
1.683971e+03,4.800592e-16,3.196167e-16
1.685515e+03,1.487937e-16,2.981077e-16
1.687059e+03,1.483129e-16,2.871052e-16
1.688603e+03,3.398823e-16,3.022164e-16
1.690147e+03,6.422964e-16,3.107567e-16
1.691691e+03,2.271317e-16,2.820817e-16
1.693235e+03,-1.861002e-16,2.579829e-16
1.694779e+03,7.882395e-17,2.654554e-16
1.696323e+03,4.973277e-17,2.666157e-16
1.697867e+03,6.085966e-16,2.911411e-16
1.699411e+03,1.994495e-17,2.589136e-16
1.700955e+03,-2.867499e-17,2.467467e-16
1.702499e+03,1.794662e-16,2.584355e-16
1.704043e+03,1.657730e-16,2.488159e-16
1.705588e+03,-3.528141e-16,2.217439e-16
1.707132e+03,-2.694861e-16,2.215425e-16
1.708676e+03,1.473128e-17,2.376190e-16
1.710220e+03,-3.944445e-17,2.311494e-16
1.711764e+03,2.815115e-16,2.489496e-16
1.713308e+03,2.718597e-16,2.419536e-16
1.714852e+03,1.412305e-16,2.325117e-16
1.716397e+03,3.795890e-16,2.430544e-16
1.717941e+03,2.990033e-16,2.355764e-16
1.719485e+03,-1.122057e-16,2.100688e-16
1.721029e+03,-2.576299e-16,1.989664e-16
1.722573e+03,1.657433e-16,2.224705e-16
1.724118e+03,1.489445e-16,2.206251e-16
1.725662e+03,4.244266e-16,2.285927e-16
1.727206e+03,1.640550e-16,2.174032e-16
1.728750e+03,1.744926e-16,2.146565e-16
1.730295e+03,2.353511e-16,2.156333e-16
1.731839e+03,4.301860e-16,2.225239e-16
1.733383e+03,1.762992e-16,2.066828e-16
1.734928e+03,-8.037186e-17,1.854609e-16
1.736472e+03,1.445648e-16,2.022655e-16
1.738016e+03,-1.683376e-16,1.839568e-16
1.739560e+03,4.298178e-16,2.150900e-16
1.741105e+03,7.815267e-17,1.892586e-16
1.742649e+03,1.958699e-16,1.992227e-16
1.744193e+03,-2.936388e-16,1.605128e-16
1.745738e+03,2.999431e-16,1.985632e-16
1.747282e+03,5.657236e-17,1.814819e-16
1.748827e+03,-1.599973e-17,1.789579e-16
1.750371e+03,1.081469e-16,1.829906e-16
1.751915e+03,2.241905e-16,1.856497e-16
1.753460e+03,2.153736e-16,1.839191e-16
1.755004e+03,2.855017e-16,1.871183e-16
1.756549e+03,4.003532e-17,1.746627e-16
1.758093e+03,1.774723e-16,1.767926e-16
1.759637e+03,-2.004948e-18,1.671349e-16
1.761182e+03,2.127927e-16,1.755715e-16
1.762726e+03,-1.503591e-16,1.555130e-16
1.764271e+03,2.812474e-16,1.799370e-16
1.765815e+03,-6.569725e-18,1.603313e-16
1.767360e+03,2.900284e-16,1.740866e-16
1.768904e+03,2.079162e-16,1.705982e-16
1.770449e+03,1.240155e-16,1.624817e-16
1.771993e+03,1.702489e-16,1.648102e-16
1.773538e+03,2.547839e-16,1.687351e-16
1.775082e+03,-3.238865e-17,1.494148e-16
1.776627e+03,-4.014163e-17,1.492417e-16
1.778171e+03,5.965164e-17,1.542809e-16
1.779716e+03,3.885713e-16,1.683759e-16
1.781260e+03,4.040447e-16,1.703985e-16
1.782805e+03,1.302399e-16,1.552039e-16
1.784350e+03,8.936895e-17,1.501555e-16
1.785894e+03,1.740534e-16,1.546796e-16
1.787439e+03,2.197810e-16,1.544977e-16
1.788983e+03,3.190123e-16,1.617764e-16
1.790528e+03,2.971967e-16,1.562618e-16
1.792073e+03,2.798406e-17,1.387554e-16
1.793617e+03,2.492353e-16,1.536541e-16
1.795162e+03,3.720852e-16,1.560867e-16
1.796706e+03,9.166733e-17,1.416173e-16
1.798251e+03,5.199910e-17,1.385035e-16
1.799796e+03,1.564224e-16,1.403795e-16
1.801340e+03,4.554587e-16,1.570804e-16
1.802885e+03,4.398213e-17,1.334229e-16
1.804430e+03,9.022638e-17,1.361229e-16
1.805974e+03,4.758800e-17,1.318474e-16
1.807519e+03,-3.583270e-17,1.255270e-16
1.809064e+03,1.014697e-16,1.329174e-16
1.810609e+03,4.024029e-16,1.510541e-16
1.812153e+03,2.715751e-16,1.408831e-16
1.813698e+03,4.423665e-17,1.271530e-16
1.815243e+03,2.685498e-16,1.390082e-16
1.816788e+03,3.204122e-16,1.423345e-16
1.818332e+03,-9.447705e-17,1.174578e-16
1.819877e+03,1.275783e-16,1.272456e-16
1.821422e+03,2.774719e-16,1.366160e-16
1.822967e+03,2.736198e-16,1.329123e-16
1.824512e+03,1.112658e-16,1.263630e-16
1.826056e+03,2.640527e-16,1.318919e-16
1.827601e+03,2.010536e-16,1.276491e-16
1.829146e+03,2.894169e-16,1.321072e-16
1.830691e+03,2.859082e-16,1.297870e-16
1.832236e+03,1.736362e-16,1.264843e-16
1.833781e+03,1.946247e-16,1.247670e-16
1.835325e+03,3.120285e-16,1.286806e-16
1.836870e+03,8.620268e-17,1.186440e-16
1.838415e+03,3.779933e-16,1.318741e-16
1.839960e+03,3.781380e-16,1.293377e-16
1.841505e+03,2.098280e-16,1.249531e-16
1.843050e+03,2.743529e-16,1.235448e-16
1.844595e+03,2.429606e-16,1.216750e-16
1.846140e+03,1.146453e-16,1.142133e-16
1.847685e+03,1.915681e-16,1.191606e-16
1.849230e+03,3.129178e-16,1.234494e-16
1.850775e+03,-1.116268e-17,1.059645e-16
1.852320e+03,2.950651e-16,1.211463e-16
1.853865e+03,2.014059e-16,1.161771e-16
1.855409e+03,3.177195e-16,1.228481e-16
1.856954e+03,3.533917e-16,1.219021e-16
1.858499e+03,1.114343e-16,1.079975e-16
1.860044e+03,3.122595e-16,1.204509e-16
1.861590e+03,3.095171e-16,1.186148e-16
1.863135e+03,2.270919e-16,1.153635e-16
1.864680e+03,2.375399e-16,1.138250e-16
1.866225e+03,2.793964e-16,1.140163e-16
1.867770e+03,4.620967e-16,1.231702e-16
1.869315e+03,1.943089e-16,1.119900e-16
1.870860e+03,2.444677e-16,1.127572e-16
1.872405e+03,2.680618e-16,1.134325e-16
1.873950e+03,2.634862e-16,1.112464e-16
1.875495e+03,1.853024e-16,1.083801e-16
1.877040e+03,3.574477e-16,1.154740e-16
1.878585e+03,5.957309e-16,1.249378e-16
1.880130e+03,5.522266e-16,1.248496e-16
1.881676e+03,3.639075e-16,1.148185e-16
1.883221e+03,2.675158e-16,1.095130e-16
1.884766e+03,4.338857e-16,1.164047e-16
1.886311e+03,3.510146e-16,1.125902e-16
1.887856e+03,4.066283e-16,1.157851e-16
1.889401e+03,4.436218e-16,1.150134e-16
1.890947e+03,4.995705e-16,1.189432e-16
1.892492e+03,4.805335e-16,1.172525e-16
1.894037e+03,3.302455e-16,1.090098e-16
