wavelength_angstrom,flux_erg_s_cm2_angstrom,error
1.585163e+03,-9.462232e-15,2.040614e-14
1.586707e+03,-2.431202e-15,1.862027e-14
1.588250e+03,1.918934e-15,8.846074e-15
1.589794e+03,-7.247819e-15,9.242486e-15
1.591337e+03,2.460660e-15,9.105979e-15
1.592881e+03,2.829815e-15,7.979691e-15
1.594424e+03,-2.014923e-15,6.849198e-15
1.595968e+03,-6.837501e-15,6.018294e-15
1.597511e+03,-4.075270e-15,5.390879e-15
1.599055e+03,-2.110198e-15,4.283905e-15
1.600598e+03,2.921157e-15,4.416678e-15
1.602142e+03,-8.304279e-16,3.685879e-15
1.603685e+03,-3.605881e-15,3.011683e-15
1.605229e+03,2.815014e-15,3.280496e-15
1.606773e+03,-5.202865e-16,2.763041e-15
1.608316e+03,-1.011688e-15,2.464176e-15
1.609860e+03,4.772799e-15,2.662265e-15
1.611403e+03,7.462817e-16,2.207533e-15
1.612947e+03,1.316208e-15,2.095886e-15
1.614491e+03,1.364493e-15,1.905668e-15
1.616034e+03,2.785415e-15,1.914646e-15
1.617578e+03,1.598541e-15,1.733378e-15
1.619122e+03,3.380907e-15,1.709885e-15
1.620665e+03,1.033337e-15,1.460000e-15
1.622209e+03,-1.448239e-16,1.285920e-15
1.623753e+03,2.184017e-15,1.371398e-15
1.625296e+03,1.364821e-15,1.257102e-15
1.626840e+03,-6.882870e-16,1.038220e-15
1.628384e+03,5.600059e-16,1.077209e-15
1.629928e+03,2.260280e-15,1.135075e-15
1.631471e+03,-8.724515e-17,9.242930e-16
1.633015e+03,2.360328e-15,1.061256e-15
1.634559e+03,5.341463e-16,9.005162e-16
1.636103e+03,7.358222e-16,8.526985e-16
1.637646e+03,1.108850e-15,8.895734e-16
1.639190e+03,-4.237383e-16,7.134611e-16
1.640734e+03,2.120498e-15,8.753609e-16
1.642278e+03,1.503670e-15,7.968716e-16
1.643822e+03,8.590708e-16,7.621341e-16
1.645365e+03,2.369781e-16,6.718899e-16
1.646909e+03,1.800798e-15,7.618056e-16
1.648453e+03,2.166407e-15,7.661997e-16
1.649997e+03,1.583263e-15,7.029464e-16
1.651541e+03,-2.966711e-16,5.428549e-16
1.653085e+03,1.743928e-15,6.873375e-16
1.654628e+03,5.983595e-16,5.961067e-16
1.656172e+03,1.056089e-15,6.059710e-16
1.657716e+03,2.858804e-15,7.156953e-16
1.659260e+03,1.888402e-15,6.376775e-16
1.660804e+03,6.422066e-16,5.434213e-16
1.662348e+03,1.276565e-15,5.726773e-16
1.663892e+03,8.303618e-16,5.430251e-16
1.665436e+03,2.068393e-15,5.999531e-16
1.666980e+03,1.826731e-15,5.895498e-16
1.668524e+03,2.291453e-15,5.938446e-16
1.670068e+03,1.298072e-15,5.341236e-16
1.671612e+03,2.139684e-15,5.745684e-16
1.673156e+03,1.063255e-15,4.956180e-16
1.674700e+03,1.658390e-16,4.177676e-16
1.676244e+03,7.870062e-16,4.658506e-16
1.677788e+03,1.074976e-15,4.726997e-16
