file,csv,mjd_start,phase_d,detector,opt_elem,cenwave,wave_min,wave_max,n_pix,texp
obnd43010_sx1.fits,CCD_G430L_mjd55801.09_phase-12.9_obnd43010_sx1.csv,55801.09275125,-12.9072487500016,CCD,G430L,4300,2888.6623487838606,5696.967230193191,1024,1200.0
obnd43020_sx1.fits,CCD_G750L_mjd55801.11_phase-12.9_obnd43020_sx1.csv,55801.11054051,-12.889459489997535,CCD,G750L,7751,5257.337639304818,10249.238854336047,1024,1002.0
obnd44010_sx1.fits,CCD_G430L_mjd55804.22_phase-09.8_obnd44010_sx1.csv,55804.22293643,-9.777063569999882,CCD,G430L,4300,2888.7874621790606,5697.095746221871,1024,578.0
obnd44020_sx1.fits,CCD_G430L_mjd55804.23_phase-09.8_obnd44020_sx1.csv,55804.23094569,-9.769054310003412,CCD,G430L,4300,2888.728070115447,5696.981818037359,1024,578.0
obnd44030_sx1.fits,CCD_G750L_mjd55804.24_phase-09.8_obnd44030_sx1.csv,55804.2410268,-9.758973199997854,CCD,G750L,7751,5257.384661533361,10249.297978293518,1024,410.0
obnd44040_sx1.fits,CCD_G750L_mjd55804.25_phase-09.8_obnd44040_sx1.csv,55804.24709162,-9.75290837999637,CCD,G750L,7751,5257.165047609787,10249.0668274192,1024,410.0
obnd45010_sx1.fits,CCD_G230LB_mjd55807.42_phase-06.6_obnd45010_sx1.csv,55807.41668643,-6.583313570001337,CCD,G230LB,2375,1663.3100839763833,3067.3419218113972,1024,1320.0
obnd45020_sx1.fits,CCD_G430L_mjd55807.44_phase-06.6_obnd45020_sx1.csv,55807.43637384,-6.563626160001149,CCD,G430L,4300,2889.112225327253,5697.427575423759,1024,195.0
obnd45030_sx1.fits,CCD_G750L_mjd55807.44_phase-06.6_obnd45030_sx1.csv,55807.44253125,-6.557468749997497,CCD,G750L,7751,5257.8986215827545,10249.825219190705,1024,195.0
obnd46010_sx1.fits,CCD_G230LB_mjd55811.41_phase-02.6_obnd46010_sx1.csv,55811.40836458,-2.591635420001694,CCD,G230LB,2375,1663.4063909234947,3067.4443190508637,1024,530.0
obnd46020_sx1.fits,CCD_G230LB_mjd55811.42_phase-02.6_obnd46020_sx1.csv,55811.41581828,-2.584181719998014,CCD,G230LB,2375,1663.3503150551094,3067.3757314636828,1024,530.0
obnd46030_sx1.fits,CCD_G430L_mjd55811.43_phase-02.6_obnd46030_sx1.csv,55811.42534384,-2.5746561600026325,CCD,G430L,4300,2889.4660453201323,5697.794629155366,1024,80.0
obnd46040_sx1.fits,CCD_G430L_mjd55811.43_phase-02.6_obnd46040_sx1.csv,55811.42758939,-2.5724106100024073,CCD,G430L,4300,2889.406673746564,5697.682890286383,1024,80.0
obnd46050_sx1.fits,CCD_G750L_mjd55811.43_phase-02.6_obnd46050_sx1.csv,55811.4337468,-2.566253199998755,CCD,G750L,7751,5258.3017592402475,10250.24585433685,1024,80.0
obnd46060_sx1.fits,CCD_G750L_mjd55811.44_phase-02.6_obnd46060_sx1.csv,55811.43599199,-2.5640080099983606,CCD,G750L,7751,5258.081819619739,10250.015841116863,1024,80.0
obnd47010_sx1.fits,CCD_G230LB_mjd55814.41_phase+00.4_obnd47010_sx1.csv,55814.41071421,0.4107142099965131,CCD,G230LB,2375,1663.478841246486,3067.519318218233,1024,530.0
obnd47020_sx1.fits,CCD_G230LB_mjd55814.42_phase+00.4_obnd47020_sx1.csv,55814.41816791,0.41816791000019293,CCD,G230LB,2375,1663.4226524046258,3067.4506448985276,1024,530.0
obnd47030_sx1.fits,CCD_G430L_mjd55814.43_phase+00.4_obnd47030_sx1.csv,55814.42769347,0.4276934700028505,CCD,G430L,4300,2889.132608216227,5697.467759750603,1024,80.0
obnd47040_sx1.fits,CCD_G430L_mjd55814.43_phase+00.4_obnd47040_sx1.csv,55814.42993865,0.42993864999880316,CCD,G430L,4300,2889.0738446911214,5697.356653427539,1024,80.0
obnd47050_sx1.fits,CCD_G750L_mjd55814.46_phase+00.5_obnd47050_sx1.csv,55814.4647768,0.4647767999995267,CCD,G750L,7751,5257.458866127118,10249.415185765853,1024,80.0
obnd47060_sx1.fits,CCD_G750L_mjd55814.47_phase+00.5_obnd47060_sx1.csv,55814.46702199,0.46702198999992106,CCD,G750L,7751,5257.238434448423,10249.184590174149,1024,80.0
obnd48010_x1d.fits,NUV-MAMA_G230L_mjd55801.17_phase-12.8_obnd48010_x1d.csv,55801.16724236,-12.832757639996998,NUV-MAMA,G230L,2376,1591.346455947367,3174.973935872504,1024,5400.0
obnd49010_x1d.fits,NUV-MAMA_G230L_mjd55804.29_phase-09.7_obnd49010_x1d.csv,55804.29012421,-9.709875790002116,NUV-MAMA,G230L,2376,1590.7125214765376,3174.3420351046148,1024,2200.0
obnd50010_sx1.fits,CCD_G230LB_mjd55817.66_phase+03.7_obnd50010_sx1.csv,55817.66343421,3.6634342100005597,CCD,G230LB,2375,1669.600827065,3073.2723520930963,1024,415.0
