obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
24963054,HST,spectrum,obnd43010,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd43010_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd43010_sx1.fits,80640,24963054,PUBLIC,3,G430L
24963055,HST,spectrum,obnd43020,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd43020_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd43020_sx1.fits,80640,24963055,PUBLIC,3,G750L
24963057,HST,spectrum,obnd44010,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd44010_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd44010_sx1.fits,80640,24963057,PUBLIC,3,G430L
24963058,HST,spectrum,obnd44020,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd44020_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd44020_sx1.fits,80640,24963058,PUBLIC,3,G430L
24963059,HST,spectrum,obnd44030,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd44030_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd44030_sx1.fits,80640,24963059,PUBLIC,3,G750L
24963060,HST,spectrum,obnd44040,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd44040_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd44040_sx1.fits,80640,24963060,PUBLIC,3,G750L
24963062,HST,spectrum,obnd45010,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd45010_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd45010_sx1.fits,80640,24963062,PUBLIC,3,G230LB
24963063,HST,spectrum,obnd45020,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd45020_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd45020_sx1.fits,80640,24963063,PUBLIC,3,G430L
24963064,HST,spectrum,obnd45030,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd45030_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd45030_sx1.fits,80640,24963064,PUBLIC,3,G750L
24963066,HST,spectrum,obnd46010,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd46010_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd46010_sx1.fits,80640,24963066,PUBLIC,3,G230LB
24963067,HST,spectrum,obnd46020,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd46020_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd46020_sx1.fits,80640,24963067,PUBLIC,3,G230LB
