shell,Z,ion,subband,lam_lo,lam_hi,tau_sum_vol_weighted,tau_sum_raw,n_lines
0,6,0,5500-5800,5500,5800,5.11844979421034e+48,1769.816024501403,8
0,6,1,5500-5800,5500,5800,3.40718651237438e+52,11781092.968589978,80
0,6,2,5500-5800,5500,5800,5.345613150604226e+44,0.18483627260398613,4
0,8,0,5500-5800,5500,5800,7.090828060391703e+52,24518089.72017383,19
0,8,1,5500-5800,5500,5800,3.98469030510728e+51,1377793.8708378477,7
0,8,2,5500-5800,5500,5800,1.2116710834902813e+40,4.189617923793497e-06,2
0,12,0,5500-5800,5500,5800,2.5846540860800836e+45,0.8937007108112665,65
0,12,1,5500-5800,5500,5800,1.2928824209834213e+53,44704238.94830133,32
0,12,2,5500-5800,5500,5800,3.8084846889319784e+53,131686692.3099308,37
0,14,0,5500-5800,5500,5800,3.749405350041754e+48,1296.4389488319548,55
0,14,1,5500-5800,5500,5800,3.0211330433251924e+54,1044622861.84298,82
0,14,2,5500-5800,5500,5800,1.5474994375701132e+53,53508179.48075678,61
0,20,0,5500-5800,5500,5800,1.2200507959929018e+42,0.000421859261352207,175
0,20,1,5500-5800,5500,5800,2.671970624845288e+49,9238.923148561973,380
0,20,2,5500-5800,5500,5800,9.825637146490596e+51,3397429.059959767,31
0,20,3,5500-5800,5500,5800,9.41745146073666e+47,325.62899266939576,1
0,22,0,5500-5800,5500,5800,1.5874808692200774e+40,5.489062497229317e-06,115
0,22,1,5500-5800,5500,5800,3.080813486765334e+48,1065.258681162569,348
0,22,2,5500-5800,5500,5800,5.8835602640945744e+50,203436.97125431598,628
0,22,3,5500-5800,5500,5800,1.0233066331448679e+40,3.5383066165207384e-06,1
0,24,0,5500-5800,5500,5800,8.689213790366034e+43,0.03004485815979544,307
0,24,1,5500-5800,5500,5800,9.851845185424795e+51,3406491.062937498,2267
0,24,2,5500-5800,5500,5800,4.783915633304207e+53,165414351.76841027,1291
0,25,0,5500-5800,5500,5800,1.6005552305822087e+43,0.005534269962729898,85
0,25,1,5500-5800,5500,5800,1.1308501256525654e+51,391016.177584312,1494
0,25,2,5500-5800,5500,5800,2.5069166740473076e+53,86682129.94561921,5514
0,26,0,5500-5800,5500,5800,2.1445600040953683e+45,0.7415285512902707,50
0,26,1,5500-5800,5500,5800,6.091955709319946e+52,21064269.980928108,521
0,26,2,5500-5800,5500,5800,3.516266498975763e+54,1215826089.2475631,1094
0,27,0,5500-5800,5500,5800,3.0957103584451525e+42,0.0010704096005373582,6
0,27,1,5500-5800,5500,5800,8.72078853290337e+50,301540.34741688054,52
0,28,0,5500-5800,5500,5800,1.514294201352406e+44,0.05236003577478694,3
0,28,2,5500-5800,5500,5800,8.780241749230118e+51,3035960.724741478,49
0,6,0,Si red,5800,6800,1.1098146409250113e+50,38374.269841566005,20
0,6,1,Si red,5800,6800,5.7405359508135934e+53,198491592.63940197,230
0,6,2,Si red,5800,6800,6.89908961853373e+44,0.23855112098908476,2
0,8,0,Si red,5800,6800,1.618392401542833e+54,559594588.4673281,89
0,8,1,Si red,5800,6800,2.0518167260997756e+55,7094605334.019149,291
0,8,2,Si red,5800,6800,3.4029460223535857e+40,1.1766430546387403e-05,3
0,12,0,Si red,5800,6800,1.002459838172881e+46,3.4662242609554834,286
0,12,1,Si red,5800,6800,1.7730963421409757e+54,613086861.3492088,119
0,12,2,Si red,5800,6800,6.894275662961821e+53,238384667.94070205,58
0,12,3,Si red,5800,6800,1.570517530509725e+47,54.30408041513867,3
0,14,0,Si red,5800,6800,1.7265378572354455e+49,5969.882463436423,209
0,14,1,Si red,5800,6800,6.662286541248611e+54,2303631363.906131,277
0,14,2,Si red,5800,6800,1.3642413650971591e+54,471716305.97367555,160
0,20,0,Si red,5800,6800,1.7414247630891987e+42,0.000602135719815985,503
0,20,1,Si red,5800,6800,7.221031030633806e+50,249682.9498238585,1986
0,20,2,Si red,5800,6800,4.284356536397696e+53,148141002.79680055,656
0,20,3,Si red,5800,6800,3.493729966258462e+48,1208.0335898886956,8
0,22,0,Si red,5800,6800,9.17950916693252e+39,3.1740161716680654e-06,287
0,22,1,Si red,5800,6800,5.808118395563088e+48,2008.2840355875355,966
0,22,2,Si red,5800,6800,4.675681476393358e+51,1616719.1894205154,2033
0,22,3,Si red,5800,6800,1.8804017943248616e+40,6.501900696304008e-06,2
0,24,0,Si red,5800,6800,1.322792064669354e+44,0.04573843033066806,609
0,24,1,Si red,5800,6800,3.384637404789796e+52,11703124.494645888,7042
0,24,2,Si red,5800,6800,1.4660777767376198e+54,506928473.8067713,2831
0,24,3,Si red,5800,6800,2.6729464905906665e+38,9.242297417927449e-08,1
0,25,0,Si red,5800,6800,7.240779696032913e+43,0.025036580314646784,221
0,25,1,Si red,5800,6800,1.3274236503271295e+52,4589857.754018556,5753
0,25,2,Si red,5800,6800,5.6636072122302855e+53,195831613.15804765,14062
0,26,0,Si red,5800,6800,3.2191921181089384e+45,1.1131061211193902,159
0,26,1,Si red,5800,6800,6.100850479774622e+53,210950255.9623717,2123
0,26,2,Si red,5800,6800,2.353468166919763e+54,813763120.169695,1658
0,27,0,Si red,5800,6800,1.1295227238236546e+43,0.0039055719935414237,5
0,27,1,Si red,5800,6800,2.6853458380470076e+52,9285170.875133995,116
0,28,0,Si red,5800,6800,6.444655224820197e+45,2.228380573777444,2
0,28,2,Si red,5800,6800,7.083167062361746e+51,2449160.0143012344,68
0,6,0,OI/cont,6800,8000,4.999435566231776e+50,172866.4250763507,15
0,6,1,OI/cont,6800,8000,4.970172649747105e+53,171854595.70221484,312
0,6,2,OI/cont,6800,8000,9.614237539620395e+45,3.3243330197806915,28
0,6,3,OI/cont,6800,8000,2.4194808627486115e+27,8.365884543227395e-19,8
0,8,0,OI/cont,6800,8000,8.68752455484355e+53,300390172.58317363,30
0,8,1,OI/cont,6800,8000,1.7512637077323345e+54,605537750.2341207,57
0,8,2,OI/cont,6800,8000,1.5060780566895001e+41,5.207594459349841e-05,8
0,8,3,OI/cont,6800,8000,45489447608017.945,1.5728971965975437e-32,3
0,12,0,OI/cont,6800,8000,2.398117781432537e+46,8.29201701464739,299
0,12,1,OI/cont,6800,8000,1.3867446334893838e+54,479497303.4642174,61
0,12,2,OI/cont,6800,8000,1.3408138960015205e+54,463615745.86544275,69
0,12,3,OI/cont,6800,8000,4.663166003188432e+47,161.23916906810823,25
0,14,0,OI/cont,6800,8000,2.6818833594505064e+49,9273.198597684848,201
0,14,1,OI/cont,6800,8000,1.079470482090635e+55,3732505414.7082863,328
0,14,2,OI/cont,6800,8000,1.0293444084807291e+54,355918354.60040236,93
0,20,0,OI/cont,6800,8000,2.110688613577198e+42,0.0007298167768035873,605
0,20,1,OI/cont,6800,8000,8.563479808180633e+50,296101.0540174787,1880
0,20,2,OI/cont,6800,8000,1.9224720202631828e+54,664736770.8805051,654
0,20,3,OI/cont,6800,8000,2.556879156850198e+49,8840.969212251994,17
0,22,0,OI/cont,6800,8000,2.3531283246193663e+40,8.136456122574897e-06,209
0,22,1,OI/cont,6800,8000,8.89423005241469e+48,3075.374674998443,1133
0,22,2,OI/cont,6800,8000,1.5535954501082694e+51,537189.6245430072,978
0,24,0,OI/cont,6800,8000,2.007759267425972e+44,0.06942267029464702,760
0,24,1,OI/cont,6800,8000,3.9246539050249023e+52,13570349.717197288,7337
0,24,2,OI/cont,6800,8000,5.372314929197504e+53,185759545.03093317,1610
0,24,3,OI/cont,6800,8000,4.343233865479158e+38,1.5017681529233545e-07,1
0,25,0,OI/cont,6800,8000,6.73149246568929e+43,0.02327560826729834,204
0,25,1,OI/cont,6800,8000,7.766412070272379e+51,2685406.927385859,5635
0,25,2,OI/cont,6800,8000,9.23648185145745e+53,319371572.4088241,12830
0,25,3,OI/cont,6800,8000,4.7869572265475955e+39,1.6551952151078527e-06,1
0,26,0,OI/cont,6800,8000,1.1235299013413043e+46,3.8848504983862835,217
0,26,1,OI/cont,6800,8000,2.7521095437886347e+53,95160209.9778301,1310
0,26,2,OI/cont,6800,8000,7.575975419381276e+53,261955928.79734948,809
0,27,0,OI/cont,6800,8000,8.588342975083668e+43,0.029696075242176156,2
0,27,1,OI/cont,6800,8000,2.364615949902549e+52,8176177.100853596,144
0,28,0,OI/cont,6800,8000,1.769807881950857e+45,0.6119498042763838,4
0,28,2,OI/cont,6800,8000,1.3411229108626958e+50,46372.259451593374,13
0,6,0,Ca IR,8000,9500,2.247659763954388e+51,777177.5494160578,116
0,6,1,Ca IR,8000,9500,1.730722716399218e+54,598435252.9777024,354
0,6,2,Ca IR,8000,9500,1.6030305076142273e+46,5.542828774738374,26
0,6,3,Ca IR,8000,9500,4.050981660537303e+26,1.4007155576459672e-19,3
0,8,0,Ca IR,8000,9500,3.805857334398454e+54,1315958457.7743697,104
0,8,1,Ca IR,8000,9500,6.004900381156001e+55,20763257133.29394,353
0,12,0,Ca IR,8000,9500,3.616974278080063e+46,12.506480076831693,211
0,12,1,Ca IR,8000,9500,3.3970936786825025e+54,1174619478.7463503,184
0,12,2,Ca IR,8000,9500,5.9210311701351524e+54,2047326098.290699,64
0,12,3,Ca IR,8000,9500,1.1667090413479119e+47,40.3415182394451,5
0,14,0,Ca IR,8000,9500,1.0421772707806078e+50,36035.559756491,174
0,14,1,Ca IR,8000,9500,2.6463143553668474e+55,9150210982.42286,290
0,14,2,Ca IR,8000,9500,1.4714875679298873e+54,508799027.4951383,137
0,20,0,Ca IR,8000,9500,9.728667118633973e+41,0.0003363899550812071,419
0,20,1,Ca IR,8000,9500,4.708471330702916e+50,162805.69990955782,1675
0,20,2,Ca IR,8000,9500,4.2775550495404266e+54,1479058265.0486841,1066
0,22,0,Ca IR,8000,9500,2.1510388680720007e+40,7.437687602885848e-06,202
0,22,1,Ca IR,8000,9500,1.1874510903815214e+49,4105.871997506043,1366
0,22,2,Ca IR,8000,9500,1.0298809065682825e+51,356103.8605544786,914
0,24,0,Ca IR,8000,9500,2.4809334349146774e+44,0.08578370259291963,802
0,24,1,Ca IR,8000,9500,5.741719902692953e+52,19853253.036649853,7715
0,24,2,Ca IR,8000,9500,1.0010285999152878e+54,346127544.1478866,1453
0,25,0,Ca IR,8000,9500,1.1788816918312594e+44,0.04076241426758338,326
0,25,1,Ca IR,8000,9500,1.2764496998982033e+52,4413604.165669797,5131
0,25,2,Ca IR,8000,9500,1.5089153965726511e+54,521740518.289711,17584
0,26,0,Ca IR,8000,9500,4.54763604473248e+45,1.572444679377659,101
0,26,1,Ca IR,8000,9500,3.788438408330998e+53,130993548.29043886,1094
0,26,2,Ca IR,8000,9500,8.389278647764043e+53,290077667.68787646,715
0,27,0,Ca IR,8000,9500,1.5401544976714847e+44,0.05325421211066953,14
0,27,1,Ca IR,8000,9500,7.998158024018055e+51,2765538.1622406766,142
0,28,0,Ca IR,8000,9500,4.1808341404526664e+44,0.14456148941668429,5
1,6,0,5500-5800,5500,5800,2.4313595752698103e+50,75230.03057954389,8
1,6,1,5500-5800,5500,5800,4.868988164726821e+52,15065403.416653745,80
1,6,2,5500-5800,5500,5800,2.8796888811094785e+41,8.910203360660791e-05,4
1,8,0,5500-5800,5500,5800,3.301536045102803e+53,102154638.15342405,19
1,8,1,5500-5800,5500,5800,2.410384898493716e+50,74581.04159769551,7
1,8,2,5500-5800,5500,5800,5.801563887855429e+34,1.7950937127187696e-11,2
1,12,0,5500-5800,5500,5800,9.021149634744339e+45,2.7912834028637907,65
1,12,1,5500-5800,5500,5800,1.6288058754149754e+53,50397776.23267077,32
1,12,2,5500-5800,5500,5800,4.1426688622949504e+51,1281805.9013619528,37
1,14,0,5500-5800,5500,5800,3.057853801890169e+49,9461.47321703512,55
1,14,1,5500-5800,5500,5800,2.4037710970851726e+54,743764003.3966336,82
1,14,2,5500-5800,5500,5800,8.087049451968792e+50,250225.83403871156,61
1,20,0,5500-5800,5500,5800,5.763715684943424e+43,0.017833828926022716,175
1,20,1,5500-5800,5500,5800,3.854161494278885e+50,119253.7253733542,380
1,20,2,5500-5800,5500,5800,7.05880661493755e+51,2184104.0827451823,31
1,20,3,5500-5800,5500,5800,1.0426840074678108e+45,0.32262257941793776,1
1,22,0,5500-5800,5500,5800,1.1325032717427389e+42,0.00035041405076904436,115
1,22,1,5500-5800,5500,5800,6.359959984977278e+49,19678.701127595283,348
1,22,2,5500-5800,5500,5800,3.5493920185541076e+50,109823.6858137213,628
1,22,3,5500-5800,5500,5800,2.5319342631146348e+36,7.834196717627479e-10,1
1,24,0,5500-5800,5500,5800,1.4242869815718775e+45,0.44069644929342944,307
1,24,1,5500-5800,5500,5800,3.826136146764104e+52,11838657.771984212,2267
1,24,2,5500-5800,5500,5800,4.0528269356066076e+52,12540074.179091746,1291
1,25,0,5500-5800,5500,5800,1.3918423944286887e+44,0.043065759157880315,85
1,25,1,5500-5800,5500,5800,2.0333731842910693e+51,629157.153017428,1494
1,25,2,5500-5800,5500,5800,8.357751131955812e+51,2586017.632391868,5514
1,26,0,5500-5800,5500,5800,9.297069594864164e+45,2.876657311554436,50
1,26,1,5500-5800,5500,5800,5.494979380243729e+52,17002317.181481674,521
1,26,2,5500-5800,5500,5800,4.5465811573241106e+52,14067826.206245715,1094
1,27,0,5500-5800,5500,5800,1.9610214761437313e+43,0.00606770414043196,6
1,27,1,5500-5800,5500,5800,1.2328748587923614e+51,381470.57420500106,52
1,28,0,5500-5800,5500,5800,5.249239835323426e+44,0.16241960973087197,3
1,28,2,5500-5800,5500,5800,3.7371553419543195e+49,11563.337381906178,49
1,6,0,Si red,5800,6800,5.271827530749372e+51,1631185.0800774524,20
1,6,1,Si red,5800,6800,8.203425759695836e+53,253826697.22574902,230
1,6,2,Si red,5800,6800,3.716548710978792e+41,0.00011499577274425645,2
1,8,0,Si red,5800,6800,7.53534115241118e+54,2331551248.48319,89
1,8,1,Si red,5800,6800,1.241167486649772e+54,384036441.6877182,291
1,8,2,Si red,5800,6800,1.6293537928411072e+35,5.041472964636664e-11,3
1,12,0,Si red,5800,6800,3.4988589969090945e+46,10.82601158661502,286
1,12,1,Si red,5800,6800,2.2337914824143592e+54,691169678.2311947,119
1,12,2,Si red,5800,6800,7.499229601744613e+51,2320377.7754660654,58
1,12,3,Si red,5800,6800,9.005419495732949e+41,0.0002786416254249148,3
1,14,0,Si red,5800,6800,1.4080900457444327e+50,43568.486651485844,209
1,14,1,Si red,5800,6800,5.3008628215613296e+54,1640169048.7091885,277
1,14,2,Si red,5800,6800,7.129364390132307e+51,2205935.751082175,160
1,20,0,Si red,5800,6800,8.226769946080586e+43,0.0254549002504426,503
1,20,1,Si red,5800,6800,1.0415915313018553e+52,3222845.503735783,1986
1,20,2,Si red,5800,6800,3.0779117739633433e+53,95235356.8890381,656
1,20,3,Si red,5800,6800,3.868197651367346e+45,1.1968802581074098,8
1,22,0,Si red,5800,6800,6.548629571612393e+41,0.00020262474046926418,287
1,22,1,Si red,5800,6800,1.1990145051778443e+50,37099.36564189035,966
1,22,2,Si red,5800,6800,2.820711570660833e+51,872771.8428621955,2033
1,22,3,Si red,5800,6800,4.6526168963075033e+36,1.439591720386625e-09,2
1,24,0,Si red,5800,6800,2.1682462446994077e+45,0.6708889666170269,609
1,24,1,Si red,5800,6800,1.314483051085186e+53,40672141.27242242,7042
1,24,2,Si red,5800,6800,1.2420284885234397e+53,38430284.90013212,2831
1,24,3,Si red,5800,6800,2.6175563835737747e+33,8.099124818182563e-13,1
1,25,0,Si red,5800,6800,6.296580059902812e+44,0.19482593824094027,221
1,25,1,Si red,5800,6800,2.3868305742207775e+52,7385223.432732828,5753
1,25,2,Si red,5800,6800,1.8881768221099448e+52,5842311.499776991,14062
1,26,0,Si red,5800,6800,1.3955801238549084e+46,4.31814102947556,159
1,26,1,Si red,5800,6800,5.503002514779273e+53,170271420.02235955,2123
1,26,2,Si red,5800,6800,3.043066850933036e+52,9415720.100795211,1658
1,27,0,Si red,5800,6800,7.155121321889636e+43,0.022139053446521596,5
1,27,1,Si red,5800,6800,3.796325708850375e+52,11746419.660490952,116
1,28,0,Si red,5800,6800,2.234013766997092e+46,6.912384565234985,2
1,28,2,Si red,5800,6800,3.0148253750964363e+49,9328.336600945624,68
1,6,0,OI/cont,6800,8000,2.3748255865773094e+52,7348078.141813654,15
1,6,1,OI/cont,6800,8000,7.102549778351713e+53,219763889.49332494,312
1,6,2,OI/cont,6800,8000,5.1792024905619666e+42,0.0016025254582074263,28
1,6,3,OI/cont,6800,8000,2.7466134222825764e+18,8.498447282343016e-28,8
1,8,0,OI/cont,6800,8000,4.0449684037250835e+54,1251575866.4440165,30
1,8,1,OI/cont,6800,8000,1.0593595163437637e+53,32778224.010913014,57
1,8,2,OI/cont,6800,8000,7.211204579391424e+35,2.2312583730555858e-10,8
1,8,3,OI/cont,6800,8000,5.433561350188131,1.6812280284997318e-45,3
1,12,0,OI/cont,6800,8000,8.370086915906829e+46,25.89834514984212,299
1,12,1,OI/cont,6800,8000,1.7470558575694784e+54,540566138.0815632,61
1,12,2,OI/cont,6800,8000,1.4584666687095315e+52,4512721.738169385,69
1,12,3,OI/cont,6800,8000,2.6738807572127362e+42,0.0008273401152885649,25
1,14,0,OI/cont,6800,8000,2.18722876331053e+50,67676.24518477461,201
1,14,1,OI/cont,6800,8000,8.588830441409869e+54,2657517149.3425827,328
1,14,2,OI/cont,6800,8000,5.3792324135265245e+51,1664417.8141325163,93
1,20,0,OI/cont,6800,8000,9.971231614341052e+43,0.03085253480778748,605
1,20,1,OI/cont,6800,8000,1.2352319230918032e+52,3821998.8640188286,1880
1,20,2,OI/cont,6800,8000,1.3811173780738494e+54,427339105.42584026,654
1,20,3,OI/cont,6800,8000,2.830932569167644e+46,8.75934378087515,17
1,22,0,OI/cont,6800,8000,1.6787134749984162e+42,0.0005194199465309805,209
1,22,1,OI/cont,6800,8000,1.8361042456332409e+50,56811.908839477444,1133
1,22,2,OI/cont,6800,8000,9.372419152954609e+50,289997.1631727215,978
1,24,0,OI/cont,6800,8000,3.29100590193286e+45,1.0182881921625846,760
1,24,1,OI/cont,6800,8000,1.5242078906975026e+53,47161352.60002856,7337
1,24,2,OI/cont,6800,8000,4.5513057337457045e+52,14082444.777364817,1610
1,24,3,OI/cont,6800,8000,4.253231244979591e+33,1.31601561478696e-12,1
1,25,0,OI/cont,6800,8000,5.853704022519474e+44,0.18112266778510963,204
1,25,1,OI/cont,6800,8000,1.3964727671346762e+52,4320903.006022206,5635
1,25,2,OI/cont,6800,8000,3.079329179484769e+52,9527921.361093355,12830
