wavelength_A,flux_erg_s_A
3000.0,5.369393907142354e+39
3003.5017508754377,5.3635783665133785e+39
3007.0035017508753,5.3577484951278486e+39
3010.505252626313,5.3519044705495397e+39
3014.0070035017507,5.346046469276477e+39
3017.508754377189,5.3401746667445817e+39
3021.0105052526264,5.334289237331278e+39
3024.512256128064,5.3283903543591513e+39
3028.014007003502,5.322478190099618e+39
3031.5157578789394,5.316552915776604e+39
3035.017508754377,5.3106147015702426e+39
3038.5192596298148,5.3046637166205996e+39
3042.0210105052524,5.298700129031394e+39
3045.5227613806906,5.292724105873743e+39
3049.024512256128,5.286735813189931e+39
3052.526263131566,5.280735415997175e+39
3056.0280140070035,5.274723078291402e+39
3059.529764882441,5.2686989630510684e+39
3063.031515757879,5.262663232240951e+39
3066.5332666333165,5.256616046815968e+39
3070.035017508754,5.250557566725029e+39
3073.536768384192,5.244487950914857e+39
3077.03851925963,5.238407357333849e+39
3080.5402701350677,5.23231594293592e+39
3084.0420210105053,5.226213863684406e+39
3087.543771885943,5.2201012745558953e+39
3091.0455227613807,5.213978329544139e+39
3094.5472736368183,5.207845181663925e+39
3098.049024512256,5.2017019829549636e+39
3101.5507753876936,5.195548884485802e+39
3105.0525262631318,5.1893860363577004e+39
3108.5542771385694,5.1832135877085214e+39
3112.056028014007,5.1770316867166384e+39
3115.5577788894448,5.1708404806048254e+39
3119.0595297648824,5.16464011564413e+39
3122.56128064032,5.1584307371577334e+39
3126.0630315157578,5.152212489524843e+39
3129.5647823911954,5.1459855161845024e+39
3133.066533266633,5.1397499596394234e+39
3136.568284142071,5.133505961459766e+39
3140.070035017509,5.127253662286897e+39
3143.5717858929465,5.12099320183709e+39
3147.073536768384,5.114724718905174e+39
3150.575287643822,5.1084483513681026e+39
3154.0770385192595,5.1021642361884655e+39
3157.578789394697,5.095872509417858e+39
3161.080540270135,5.089573306200147e+39
3164.582291145573,5.0832667607745844e+39
3168.0840420210106,5.076953006478727e+39
3171.5857928964483,5.070632175751126e+39
3175.087543771886,5.064304400133776e+39
3178.5892946473236,5.0579698102742285e+39
3182.0910455227613,5.05162853592729e+39
3185.592796398199,5.045280705956316e+39
3189.0945472736366,5.0389264483339096e+39
3192.5962981490748,5.0325658901419945e+39
3196.0980490245124,5.02619915757108e+39
3199.59979989995,5.0198263759186284e+39
3203.1015507753878,5.01344766958631e+39
3206.6033016508254,5.0070631620759566e+39
3210.105052526263,5.000672975983965e+39
3213.6068034017007,4.994277232993934e+39
3217.1085542771384,4.987876053867098e+39
3220.610305152576,4.981469558430287e+39
3224.112056028014,4.9750578655609077e+39
3227.613806903452,4.96864109316848e+39
3231.1155577788895,4.962219358172092e+39
3234.617308654327,4.9557927764730944e+39
3238.119059529765,4.9493614629222906e+39
3241.6208104052025,4.942925531280651e+39
3245.12256128064,4.936485094172495e+39
3248.624312156078,4.9300402630299806e+39
3252.1260630315155,4.923591148027437e+39
3255.6278139069536,4.917137858004033e+39
3259.1295647823913,4.9106805003728705e+39
3262.631315657829,4.9042191810144706e+39
3266.1330665332666,4.8977540041523096e+39
3269.6348174087043,4.8912850722076444e+39
3273.136568284142,4.88481248563063e+39
3276.6383191595796,4.878336342704268e+39
3280.1400700350177,4.871856739317273e+39
3283.6418209104554,4.8653737687014365e+39
3287.143571785893,4.8588875211286096e+39
3290.6453226613307,4.8523980835616624e+39
3294.1470735367684,4.8459055392532745e+39
3297.648824412206,4.839409967285565e+39
3301.1505752876437,4.832911442042807e+39
3304.6523261630814,4.826410032608657e+39
3308.154077038519,4.819905802078238e+39
3311.655827913957,4.813398806774589e+39
3315.157578789395,4.806889095357689e+39
3318.6593296648325,4.800376707813196e+39
3322.16108054027,4.7938616743067684e+39
3325.662831415708,4.78734401388839e+39
3329.1645822911455,4.7808237330297306e+39
3332.666333166583,4.774300823976117e+39
3336.168084042021,4.767775262892887e+39
3339.6698349174585,4.7612470077844857e+39
3343.1715857928966,4.754715996162666e+39
3346.6733366683343,4.748182142438502e+39
3350.175087543772,4.74164533501107e+39
3353.6768384192096,4.735105433023636e+39
3357.1785892946473,4.728562262756478e+39
3360.680340170085,4.722015613623423e+39
3364.1820910455226,4.7154652337373826e+39
3367.6838419209603,4.7089108250083314e+39
3371.185592796398,4.702352037735482e+39
3374.687343671836,4.6957884646537176e+39
3378.1890945472737,4.6892196343930124e+39
3381.6908454227114,4.682645004308201e+39
3385.192596298149,4.6760639526355336e+39
3388.6943471735867,4.669475769931746e+39
3392.1960980490244,4.6628796497509996e+39
3395.697848924462,4.6562746785151696e+39
3399.1995997999,4.649659824533437e+39
3402.701350675338,4.643033926128397e+39
3406.2031015507755,4.6363956788274196e+39
3409.704852426213,4.62974362158062e+39
3413.206603301651,4.623076121969844e+39
3416.7083541770885,4.616391360377187e+39
3420.210105052526,4.6096873130865087e+39
3423.711855927964,4.602961734297351e+39
3427.2136068034015,4.596212137037741e+39
3430.7153576788396,4.589435772970488e+39
3434.2171085542773,4.5826296110970436e+39
3437.718859429715,4.5757903153735853e+39
3441.2206103051526,4.568914221266049e+39
3444.7223611805903,4.5619973112840866e+39
3448.224112056028,4.555035189548761e+39
3451.7258629314656,4.548023055464883e+39
3455.2276138069033,4.54095567658644e+39
3458.729364682341,4.5338273607824696e+39
3462.231115557779,4.526631927831179e+39
3465.7328664332167,4.519362680591307e+39
3469.2346173086544,4.512012375922911e+39
3472.736368184092,4.504573195553148e+39
3476.2381190595297,4.4970367171076687e+39
3479.7398699349674,4.489393885553563e+39
3483.241620810405,4.481634985325901e+39
3486.7433716858427,4.4737496134362276e+39
3490.2451225612804,4.465726653887808e+39
3493.7468734367185,4.457554253748453e+39
3497.248624312156,4.449219801257434e+39
3500.750375187594,4.440709906367341e+39
3504.2521260630315,4.432010384145134e+39
3507.753876938469,4.423106241477921e+39
3511.255627813907,4.413981667548253e+39
3514.7573786893445,4.4046200285600967e+39
3518.2591295647826,4.395003867210063e+39
3521.76088044022,4.3851149074079665e+39
3525.262631315658,4.374934064756232e+39
3528.7643821910956,4.3644414632984285e+39
3532.2661330665333,4.3536164590427134e+39
3535.767883941971,4.3424376707558884e+39
3539.2696348174086,4.330883018507539e+39
3542.7713856928463,4.3189297704209765e+39
3546.273136568284,4.3065545980581187e+39
