super_levels,shell,artifact,bytes,sha256,byte_equal
0,0,lumina_oracle_cell_s0.csv,27748,b2c141f57638f349275143a244f68262d825abd465f5e0bbd7f2a1f7376d47b1,1
0,0,pair_ion_fractions.csv,290,29e56721aa17a9e9d561ead771f391aa3930fc992108da82965e4ad5d17ad683,1
0,0,pair_level_populations.csv,272071,38154f7d4cd3fb40abed0601c44099eaf70ef3d22a1a2a7b1be9e516d9147fd6,1
0,8,lumina_oracle_cell_s8.csv,28391,f3c9b752ecd63ecd77ae38d9a61eb2a676b3d7a49c25e1a7eb22d6a56a825dde,1
0,8,pair_ion_fractions.csv,527,c2b977bd42f45b0d9763c9d70df0848b822059b3270212381dc723f30c6bd337,1
0,8,pair_level_populations.csv,316974,13662c9881f209d64e4a4dd60807daf01209cab4b118cfad9334caa851c4472e,1
1,0,lumina_oracle_cell_s0.csv,27748,b2c141f57638f349275143a244f68262d825abd465f5e0bbd7f2a1f7376d47b1,1
1,0,pair_ion_fractions.csv,290,29e56721aa17a9e9d561ead771f391aa3930fc992108da82965e4ad5d17ad683,1
1,0,pair_level_populations.csv,272071,38154f7d4cd3fb40abed0601c44099eaf70ef3d22a1a2a7b1be9e516d9147fd6,1
1,8,lumina_oracle_cell_s8.csv,28391,f3c9b752ecd63ecd77ae38d9a61eb2a676b3d7a49c25e1a7eb22d6a56a825dde,1
1,8,pair_ion_fractions.csv,527,c2b977bd42f45b0d9763c9d70df0848b822059b3270212381dc723f30c6bd337,1
1,8,pair_level_populations.csv,316974,13662c9881f209d64e4a4dd60807daf01209cab4b118cfad9334caa851c4472e,1
