# Wavelength(A) Luminosity_density(erg/s/A)
3.002102e+03 4.644598e-15
3.006313e+03 4.886054e-15
3.010537e+03 4.785318e-15
3.014772e+03 5.940122e-15
3.019020e+03 6.904936e-15
3.023279e+03 5.924218e-15
3.027551e+03 7.309164e-15
3.031834e+03 6.705740e-15
3.036130e+03 8.469838e-15
3.040438e+03 8.864150e-15
3.044758e+03 6.956237e-15
3.049090e+03 9.813280e-15
3.053435e+03 1.056983e-14
3.057792e+03 1.148513e-14
3.062162e+03 1.261914e-14
3.066544e+03 1.165688e-14
3.070939e+03 1.582309e-14
3.075346e+03 1.380703e-14
3.079766e+03 1.560064e-14
3.084199e+03 1.812754e-14
3.088644e+03 1.588500e-14
3.093102e+03 1.685780e-14
3.097574e+03 1.996910e-14
3.102058e+03 2.404576e-14
3.106555e+03 2.277235e-14
3.111065e+03 2.831067e-14
3.115588e+03 2.693884e-14
3.120125e+03 2.773389e-14
3.124675e+03 3.355912e-14
3.129238e+03 3.367809e-14
3.133814e+03 2.593547e-14
3.138404e+03 2.642537e-14
3.143007e+03 2.405634e-14
3.147624e+03 1.583195e-14
3.152254e+03 1.157624e-14
3.156898e+03 6.906859e-15
3.161555e+03 1.131155e-15
3.166227e+03 2.976593e-15
3.170912e+03 3.091924e-15
3.175611e+03 2.346602e-14
3.180324e+03 1.401153e-15
3.185052e+03 4.047172e-15
3.189793e+03 4.776125e-15
3.194548e+03 6.856074e-15
3.199318e+03 1.368125e-15
3.204101e+03 2.144029e-14
3.208899e+03 2.247057e-14
3.213712e+03 5.195897e-14
3.218539e+03 5.922281e-14
3.223380e+03 7.135389e-14
3.228236e+03 6.106804e-14
3.233107e+03 4.641520e-14
3.237992e+03 7.283012e-14
3.242893e+03 7.186060e-14
3.247808e+03 6.688250e-14
3.252738e+03 8.322262e-14
3.257683e+03 9.282460e-14
3.262643e+03 1.220602e-13
3.267618e+03 1.652259e-13
3.272608e+03 1.870108e-13
3.277614e+03 1.638508e-13
3.282635e+03 1.821909e-13
3.287671e+03 2.209277e-13
3.292723e+03 2.660057e-13
3.297791e+03 3.468777e-13
3.302874e+03 3.181283e-13
3.307972e+03 2.691027e-13
3.313087e+03 2.614682e-13
3.318217e+03 2.838884e-13
3.323363e+03 2.311945e-13
3.328526e+03 2.018866e-13
3.333704e+03 1.979556e-13
3.338898e+03 1.449492e-13
3.344109e+03 7.595846e-14
3.349336e+03 1.022122e-13
3.354579e+03 4.520258e-14
3.359839e+03 7.512074e-14
3.365115e+03 4.421726e-14
3.370408e+03 1.065024e-13
3.375717e+03 2.842869e-13
3.381044e+03 3.549210e-13
