# LUMINA-SN GPU Spectrum (Escaped Packets)
# n_packets=20000000, n_emitted=3989129
wavelength_A,flux
3003.50,6.796000e+03
3010.50,6.816000e+03
3017.50,6.827000e+03
3024.50,6.858000e+03
3031.50,6.679000e+03
3038.50,6.794000e+03
3045.50,6.691000e+03
3052.50,6.508000e+03
3059.50,6.605000e+03
3066.50,6.722000e+03
3073.50,6.662000e+03
3080.50,6.638000e+03
3087.50,6.452000e+03
3094.50,6.460000e+03
3101.50,6.488000e+03
3108.50,6.586000e+03
3115.50,6.467000e+03
3122.50,6.397000e+03
3129.50,6.402000e+03
3136.50,6.184000e+03
3143.50,6.321000e+03
3150.50,6.327000e+03
3157.50,6.230000e+03
3164.50,6.245000e+03
3171.50,6.221000e+03
3178.50,6.329000e+03
3185.50,6.222000e+03
3192.50,6.163000e+03
3199.50,6.090000e+03
3206.50,6.114000e+03
3213.50,6.061000e+03
3220.50,6.072000e+03
3227.50,6.090000e+03
3234.50,5.954000e+03
3241.50,6.121000e+03
3248.50,6.007000e+03
3255.50,6.065000e+03
3262.50,5.946000e+03
3269.50,5.948000e+03
3276.50,5.938000e+03
3283.50,6.018000e+03
3290.50,5.944000e+03
3297.50,5.894000e+03
3304.50,5.747000e+03
3311.50,5.943000e+03
3318.50,5.761000e+03
3325.50,5.754000e+03
3332.50,5.848000e+03
3339.50,5.850000e+03
3346.50,5.602000e+03
3353.50,5.655000e+03
3360.50,5.690000e+03
3367.50,5.608000e+03
3374.50,5.674000e+03
3381.50,5.681000e+03
3388.50,5.484000e+03
3395.50,5.541000e+03
3402.50,5.577000e+03
3409.50,5.314000e+03
3416.50,5.574000e+03
3423.50,5.260000e+03
3430.50,5.525000e+03
3437.50,5.420000e+03
3444.50,5.386000e+03
3451.50,5.352000e+03
3458.50,5.273000e+03
3465.50,5.407000e+03
3472.50,5.306000e+03
3479.50,5.330000e+03
3486.50,5.298000e+03
3493.50,5.193000e+03
3500.50,5.153000e+03
3507.50,5.110000e+03
3514.50,5.150000e+03
3521.50,5.296000e+03
3528.50,5.142000e+03
3535.50,5.187000e+03
3542.50,5.139000e+03
3549.50,4.926000e+03
3556.50,5.011000e+03
3563.50,4.947000e+03
3570.50,5.070000e+03
3577.50,4.878000e+03
3584.50,4.993000e+03
3591.50,4.916000e+03
3598.50,4.870000e+03
3605.50,4.896000e+03
3612.50,4.896000e+03
3619.50,4.895000e+03
3626.50,4.879000e+03
