# LUMINA-SN GPU Spectrum (Peeling-off / Virtual Packets)
# n_packets=20000000, n_contributions=374813200
# Line contributions: 189807, E-scatter: 374623393
wavelength_A,flux
1006.00,5.101159e+03
1018.00,5.315821e+03
1030.00,5.635415e+03
1042.00,5.890511e+03
1054.00,6.014201e+03
1066.00,6.319854e+03
1078.00,7.339670e+03
1090.00,8.840897e+03
1102.00,1.009980e+04
1114.00,1.113923e+04
1126.00,1.215770e+04
1138.00,1.312528e+04
1150.00,1.377113e+04
1162.00,1.445396e+04
1174.00,1.512063e+04
1186.00,1.552067e+04
1198.00,1.582526e+04
1210.00,1.626655e+04
1222.00,1.648090e+04
1234.00,1.697119e+04
1246.00,1.725961e+04
1258.00,1.760491e+04
1270.00,1.743356e+04
1282.00,1.774926e+04
1294.00,1.797000e+04
1306.00,1.804451e+04
1318.00,1.805678e+04
1330.00,1.825321e+04
1342.00,1.851720e+04
1354.00,1.868877e+04
1366.00,1.898087e+04
1378.00,1.919657e+04
1390.00,1.928776e+04
1402.00,1.962309e+04
1414.00,1.982949e+04
1426.00,2.049548e+04
1438.00,2.086650e+04
1450.00,2.126116e+04
1462.00,2.159636e+04
1474.00,2.206854e+04
1486.00,2.266158e+04
1498.00,2.295888e+04
1510.00,2.326883e+04
1522.00,2.209202e+04
1534.00,1.951019e+04
1546.00,1.726884e+04
1558.00,1.569817e+04
1570.00,1.472779e+04
1582.00,1.417372e+04
1594.00,1.271367e+04
1606.00,1.141317e+04
1618.00,1.037768e+04
1630.00,9.471554e+03
1642.00,9.430596e+03
1654.00,9.707664e+03
1666.00,8.980914e+03
1678.00,7.974040e+03
1690.00,7.259487e+03
1702.00,6.649668e+03
1714.00,5.988344e+03
1726.00,5.712279e+03
1738.00,5.315570e+03
1750.00,5.054487e+03
1762.00,4.890090e+03
1774.00,4.758350e+03
1786.00,4.601782e+03
1798.00,4.907113e+03
1810.00,6.105489e+03
1822.00,8.377151e+03
1834.00,1.082553e+04
1846.00,1.275287e+04
1858.00,1.465294e+04
1870.00,1.657749e+04
1882.00,1.831109e+04
1894.00,1.925549e+04
1906.00,1.902645e+04
1918.00,1.938846e+04
1930.00,1.998130e+04
1942.00,2.122828e+04
1954.00,2.247194e+04
1966.00,2.166064e+04
1978.00,2.073498e+04
1990.00,2.091795e+04
2002.00,2.167066e+04
2014.00,2.275428e+04
2026.00,2.405716e+04
2038.00,2.503020e+04
2050.00,2.596677e+04
