# Wavelength(A) Luminosity_density(erg/s/A)
1.000000e+04 2.402785e+38
9.988347e+03 1.850014e+38
9.976721e+03 2.673823e+38
9.965122e+03 1.585935e+38
9.953550e+03 4.055448e+38
9.942005e+03 1.873573e+38
9.930487e+03 2.185666e+38
9.918995e+03 2.417907e+38
9.907530e+03 3.504914e+38
9.896091e+03 1.328516e+38
9.884679e+03 3.510950e+38
9.873293e+03 3.529428e+38
9.861933e+03 2.438663e+38
9.850599e+03 1.652425e+38
9.839292e+03 3.315760e+38
9.828010e+03 1.921289e+38
9.816754e+03 3.050146e+38
9.805524e+03 1.910438e+38
9.794319e+03 3.303974e+38
9.783140e+03 2.507449e+38
9.771987e+03 3.363448e+38
9.760859e+03 1.960710e+38
9.749756e+03 4.187686e+38
9.738679e+03 1.975834e+38
9.727626e+03 3.067602e+38
9.716599e+03 3.383393e+38
9.705597e+03 3.636103e+38
9.694619e+03 2.271889e+38
9.683667e+03 3.092523e+38
9.672739e+03 3.116604e+38
9.661836e+03 3.116100e+38
9.650957e+03 3.110481e+38
9.640103e+03 1.444855e+38
9.629273e+03 1.699679e+38
9.618467e+03 3.123219e+38
9.607686e+03 2.290447e+38
9.596929e+03 2.620437e+38
9.586196e+03 1.733736e+38
9.575487e+03 2.342699e+38
9.564802e+03 2.595774e+38
9.554140e+03 3.518245e+38
9.543502e+03 3.724200e+38
9.532888e+03 2.877235e+38
9.522298e+03 2.674248e+38
9.511731e+03 2.060262e+38
9.501188e+03 3.825486e+38
9.490668e+03 4.420057e+38
9.480171e+03 3.263270e+38
9.469697e+03 2.665852e+38
9.459246e+03 1.497435e+38
9.448819e+03 2.097070e+38
9.438414e+03 2.667814e+38
9.428033e+03 4.149372e+38
9.417674e+03 2.964920e+38
9.407338e+03 3.591315e+38
9.397024e+03 3.315956e+38
9.386733e+03 4.494336e+38
9.376465e+03 5.972232e+38
9.366219e+03 5.650699e+38
9.355996e+03 3.660295e+38
9.345794e+03 1.825585e+38
9.335615e+03 3.954454e+38
9.325459e+03 4.498084e+38
9.315324e+03 2.466662e+38
9.305211e+03 3.091803e+38
9.295120e+03 5.176501e+38
9.285051e+03 3.324191e+38
9.275004e+03 2.421721e+38
9.264978e+03 1.541187e+38
9.254975e+03 3.415226e+38
9.244992e+03 5.274551e+38
9.235032e+03 3.056873e+38
9.225092e+03 1.872230e+38
9.215174e+03 3.993381e+38
9.205278e+03 4.066952e+38
9.195402e+03 2.825508e+38
9.185548e+03 4.371921e+38
9.175715e+03 1.866644e+38
9.165903e+03 2.388549e+38
9.156112e+03 3.156120e+38
9.146341e+03 2.845881e+38
9.136592e+03 3.767588e+38
9.126863e+03 3.877879e+38
9.117155e+03 4.058400e+38
9.107468e+03 4.400028e+38
9.097801e+03 3.555479e+38
9.088155e+03 2.262372e+38
9.078529e+03 1.575028e+38
9.068924e+03 4.228633e+38
9.059339e+03 1.249770e+38
9.049774e+03 2.924918e+38
9.040229e+03 1.940506e+38
9.030704e+03 2.615157e+38
9.021200e+03 2.604609e+38
9.011715e+03 3.858631e+38
9.002251e+03 2.586454e+38
8.992806e+03 4.565344e+38
8.983381e+03 3.585828e+38
8.973975e+03 3.895083e+38
8.964590e+03 1.989890e+38
8.955224e+03 2.943690e+38
8.945877e+03 2.647022e+38
8.936550e+03 3.685670e+38
8.927243e+03 1.350196e+38
8.917955e+03 3.376384e+38
8.908686e+03 3.655937e+38
8.899436e+03 5.007305e+38
8.890206e+03 3.698314e+38
8.880995e+03 5.362156e+38
8.871802e+03 3.306200e+38
8.862629e+03 4.736096e+38
8.853475e+03 3.971718e+38
8.844340e+03 4.068788e+38
8.835223e+03 2.361796e+38
8.826125e+03 3.042956e+38
8.817046e+03 3.688277e+38
8.807986e+03 6.080944e+38
8.798944e+03 4.388848e+38
8.789921e+03 2.673983e+38
8.780916e+03 4.807905e+38
8.771930e+03 4.493151e+38
8.762962e+03 4.139359e+38
8.754012e+03 5.102846e+38
8.745081e+03 3.095472e+38
8.736168e+03 4.154282e+38
8.727273e+03 6.219179e+38
8.718396e+03 5.248801e+38
8.709537e+03 3.525432e+38
8.700696e+03 3.159401e+38
8.691873e+03 2.766918e+38
8.683068e+03 3.157530e+38
8.674281e+03 2.858984e+38
8.665511e+03 5.641697e+38
8.656759e+03 4.611073e+38
8.648025e+03 2.434767e+38
8.639309e+03 5.717170e+38
8.630610e+03 7.440876e+38
8.621928e+03 2.091687e+38
8.613264e+03 2.840878e+38
8.604618e+03 4.620704e+38
8.595989e+03 3.599889e+38
8.587377e+03 3.903990e+38
8.578782e+03 2.134538e+38
8.570204e+03 4.680730e+38
8.561644e+03 3.233248e+38
8.553100e+03 4.665317e+38
8.544574e+03 4.285811e+38
8.536065e+03 4.318428e+38
8.527572e+03 4.748198e+38
8.519097e+03 3.666352e+38
8.510638e+03 5.162387e+38
8.502196e+03 4.390197e+38
8.493771e+03 2.141358e+38
8.485363e+03 3.683222e+38
8.476971e+03 6.255233e+38
8.468596e+03 3.957682e+38
8.460237e+03 4.462118e+38
8.451895e+03 5.486885e+38
8.443569e+03 4.842144e+38
8.435259e+03 5.942715e+38
8.426966e+03 6.700747e+38
8.418689e+03 3.682190e+38
8.410429e+03 6.384732e+38
8.402185e+03 3.409812e+38
8.393956e+03 3.389009e+38
8.385744e+03 2.951003e+38
8.377548e+03 3.754237e+38
8.369368e+03 4.943961e+38
8.361204e+03 2.286982e+38
8.353056e+03 3.443568e+38
8.344924e+03 3.065939e+38
8.336807e+03 2.705284e+38
8.328706e+03 2.716474e+38
8.320621e+03 4.567909e+38
8.312552e+03 3.787512e+38
8.304498e+03 2.932823e+38
8.296460e+03 3.504269e+38
8.288438e+03 5.430015e+38
8.280431e+03 2.712960e+38
8.272439e+03 3.935363e+37
8.264463e+03 3.490299e+38
8.256502e+03 5.820251e+38
8.248557e+03 3.509008e+38
8.240626e+03 2.743585e+38
8.232711e+03 4.291707e+38
8.224812e+03 3.561169e+38
8.216927e+03 3.920499e+38
8.209057e+03 2.333001e+38
8.201203e+03 6.330926e+38
8.193363e+03 5.863785e+38
8.185539e+03 5.547980e+38
8.177729e+03 5.985000e+38
8.169935e+03 3.178255e+38
8.162155e+03 5.584526e+38
8.154390e+03 4.275142e+38
8.146640e+03 3.187578e+38
8.138904e+03 2.384811e+38
8.131183e+03 4.769915e+38
8.123477e+03 4.389118e+38
8.115785e+03 4.016680e+38
8.108108e+03 2.856303e+38
8.100446e+03 2.796569e+38
8.092797e+03 4.387584e+38
8.085164e+03 4.448367e+38
8.077544e+03 7.201511e+38
8.069939e+03 2.046955e+38
8.062349e+03 3.280745e+38
8.054772e+03 5.718804e+38
8.047210e+03 3.687284e+38
8.039662e+03 4.465362e+38
8.032129e+03 2.484568e+38
8.024609e+03 4.492203e+38
8.017103e+03 2.486019e+38
8.009612e+03 4.936782e+38
8.002134e+03 4.964055e+38
7.994670e+03 4.123566e+38
7.987220e+03 3.381667e+38
7.979785e+03 5.839492e+38
7.972362e+03 5.443507e+38
7.964954e+03 8.738454e+38
7.957560e+03 6.708444e+38
7.950179e+03 3.340855e+38
7.942812e+03 5.912724e+38
7.935458e+03 6.680617e+38
7.928118e+03 3.710199e+38
7.920792e+03 2.494725e+38
7.913479e+03 2.017853e+38
7.906180e+03 3.772217e+38
7.898894e+03 5.911016e+38
7.891622e+03 2.579243e+38
7.884363e+03 5.063078e+38
7.877117e+03 5.118657e+38
7.869885e+03 5.079764e+38
7.862665e+03 4.217087e+38
7.855460e+03 4.766725e+38
7.848267e+03 6.463771e+38
7.841087e+03 9.464350e+38
7.833921e+03 5.161301e+38
7.826768e+03 3.858894e+38
7.819627e+03 4.351060e+38
7.812500e+03 7.021087e+38
7.805386e+03 5.715977e+38
7.798284e+03 6.099932e+38
7.791196e+03 4.762523e+38
7.784120e+03 5.195880e+38
7.777058e+03 5.667502e+38
7.770008e+03 7.035502e+38
7.762971e+03 6.140015e+38
7.755946e+03 4.419922e+38
7.748935e+03 3.067803e+38
7.741935e+03 6.086064e+38
7.734949e+03 6.222505e+38
7.727975e+03 5.706750e+38
7.721014e+03 7.489673e+38
7.714065e+03 3.535956e+38
7.707129e+03 5.780599e+38
7.700205e+03 6.755702e+38
7.693294e+03 5.003736e+38
7.686395e+03 6.262315e+38
7.679509e+03 6.362883e+38
7.672634e+03 4.028219e+38
7.665772e+03 6.744312e+38
7.658923e+03 4.972039e+38
7.652085e+03 5.856976e+38
7.645260e+03 5.928726e+38
7.638447e+03 7.250677e+38
7.631646e+03 5.002332e+38
7.624857e+03 4.588750e+38
7.618080e+03 7.293956e+38
7.611315e+03 5.493854e+38
7.604563e+03 5.030424e+38
7.597822e+03 5.465562e+38
7.591093e+03 5.063888e+38
7.584376e+03 6.006083e+38
7.577671e+03 6.037974e+38
7.570978e+03 6.041891e+38
